time,accel x,accel y,accel z,gyro x,gyro y,gyro z
1515627134.084,-0.025324,0.033789,0.043406,0.320148,-0.042234,-0.077783
1515627134.094,-0.013378,0.039354,0.032365,0.324496,-0.029455,-0.078752
1515627134.104,-0.02024,0.05914,0.057022,0.267223,-0.003463,-0.083612
1515627134.114,-0.025762,0.065397,0.081443,0.180808,-0.014669,-0.075106
1515627134.124,-0.021949,0.057636,0.098331,0.074399,-0.117573,-0.044791
1515627134.134,-0.002735,0.042818,0.056169,-0.010313,-0.168315,-0.021491
1515627134.144,0.013604,0.032139,0.02329,-0.064404,-0.172451,0.043868
1515627134.154,0.033572,0.022986,0.044292,-0.081587,-0.150009,0.066101
1515627134.164,0.030196,0.019463,0.035176,-0.08905,-0.118006,0.082095
1515627134.174,0.041787,0.025433,0.026909,-0.081715,-0.09891,0.100352
1515627134.184,0.053703,0.030443,0.011337,-0.076408,-0.094688,0.103625
1515627134.194,0.055637,0.030717,-0.011287,-0.062691,-0.115048,0.10372
1515627134.204,0.061478,0.032436,-0.030722,-0.043511,-0.132212,0.094308
1515627134.214,0.0596,0.038112,-0.040575,-0.006131,-0.154792,0.074447
1515627134.224,0.055353,0.047247,-0.044051,0.061134,-0.173286,0.0507
1515627134.234,0.048767,0.054214,-0.040512,0.140351,-0.167293,0.019726
1515627134.244,0.036114,0.055947,-0.028018,0.214306,-0.162315,-0.016638
1515627134.254,0.023051,0.059588,-0.017197,0.282679,-0.187196,-0.046783
1515627134.264,0.012967,0.05941,-0.018407,0.35951,-0.221734,-0.07686
1515627134.274,0.003951,0.059134,-0.017395,0.430009,-0.240237,-0.103762
1515627134.284,-0.00407,0.057427,-0.000072,0.483563,-0.253282,-0.13511
1515627134.294,-0.012182,0.060548,0.022308,0.524391,-0.267297,-0.170873
1515627134.304,-0.021226,0.063835,0.039363,0.553765,-0.254539,-0.214138
1515627134.315,-0.032818,0.059806,0.062031,0.566401,-0.190465,-0.256363
1515627134.325,-0.04615,0.051337,0.098882,0.565398,-0.059141,-0.282548
1515627134.335,-0.055279,0.04173,0.140408,0.542747,0.103122,-0.266291
1515627134.345,-0.059758,0.025087,0.177549,0.52842,0.271673,-0.23181
1515627134.355,-0.063764,0.013799,0.193136,0.556774,0.438907,-0.205339
1515627134.365,-0.061478,0.022426,0.197174,0.630997,0.615456,-0.181478
1515627134.375,-0.065462,0.026617,0.196529,0.738162,0.800297,-0.148674
1515627134.385,-0.071757,0.027283,0.198204,0.898693,1.001872,-0.118365
1515627134.395,-0.080325,0.042794,0.205068,1.124609,1.246815,-0.10203
1515627134.405,-0.094605,0.057827,0.226254,1.389282,1.521446,-0.10536
1515627134.415,-0.111436,0.07791,0.255591,1.640319,1.784501,-0.130192
1515627134.425,-0.121289,0.08882,0.284887,1.748325,1.823341,-0.148993
1515627134.435,-0.097108,0.071748,0.272635,1.622946,1.571478,-0.204609
1515627134.445,-0.080246,0.069986,0.19448,1.312626,1.258041,-0.313776
1515627134.455,-0.09207,0.102599,0.164461,0.930471,0.94841,-0.465326
1515627134.465,-0.130909,0.11019,0.194586,0.586241,0.702622,-0.638564
1515627134.475,-0.170409,0.119969,0.232654,0.368387,0.577649,-0.813063
1515627134.485,-0.209612,0.135281,0.27604,0.323624,0.591265,-0.970096
1515627134.495,-0.245392,0.140028,0.321446,0.434424,0.72428,-1.080123
1515627134.505,-0.267584,0.135397,0.359436,0.632029,0.94048,-1.02802
1515627134.515,-0.249257,0.108704,0.389921,0.822493,1.280882,-0.77431
1515627134.525,-0.226465,0.044225,0.419903,0.959511,1.727033,-0.453792
1515627134.535,-0.225717,-0.001809,0.454742,1.081759,2.239637,-0.196054
1515627134.545,-0.243275,0.0104,0.472313,1.208559,2.750436,-0.045823
1515627134.555,-0.270951,0.05466,0.46017,1.369011,3.18662,0.0183
1515627134.565,-0.30051,0.093406,0.415573,1.568696,3.559939,-0.018487
1515627134.575,-0.319541,0.133245,0.363198,1.762726,3.849333,-0.152535
1515627134.585,-0.322247,0.160912,0.310911,1.900732,4.014562,-0.377134
1515627134.595,-0.325942,0.189701,0.250038,1.960905,4.014087,-0.671391
1515627134.605,-0.323073,0.233023,0.179584,1.934963,3.909807,-1.024544
1515627134.615,-0.31171,0.276383,0.110527,1.839818,3.765496,-1.396771
1515627134.625,-0.271425,0.316844,0.051855,1.745334,3.612552,-1.741331
1515627134.635,-0.209128,0.358432,-0.01286,1.724289,3.497199,-1.982648
1515627134.645,-0.130911,0.371006,-0.067615,1.810318,3.457732,-2.152133
1515627134.655,-0.067116,0.350203,-0.106676,2.005501,3.392928,-2.293769
1515627134.665,0.001072,0.333471,-0.14933,2.236626,3.268171,-2.443697
1515627134.675,0.039822,0.330728,-0.195045,2.417516,3.081117,-2.691349
1515627134.685,0.038569,0.341614,-0.23352,2.490942,2.829008,-3.058722
1515627134.695,0.063512,0.369768,-0.269829,2.469755,2.49872,-3.474356
1515627134.705,0.125351,0.415982,-0.324866,2.425897,2.067021,-3.82991
1515627134.715,0.215706,0.430235,-0.382727,2.426754,1.640868,-4.015587
1515627134.725,0.344645,0.400524,-0.426248,2.530936,1.344807,-4.060073
1515627134.735,0.478504,0.348013,-0.412728,2.719128,1.179201,-4.034948
1515627134.745,0.552369,0.304929,-0.372994,2.963228,1.100448,-3.92792
1515627134.755,0.600274,0.26408,-0.328189,3.253433,1.107488,-3.722072
1515627134.765,0.639521,0.219319,-0.270448,3.568047,1.18572,-3.476285
1515627134.775,0.684888,0.174412,-0.199688,3.865485,1.37935,-3.248414
1515627134.785,0.744144,0.170558,-0.134624,4.135509,1.640615,-3.093054
1515627134.795,0.730521,0.160561,-0.069425,4.33766,1.844864,-2.985562
1515627134.805,0.695444,0.126176,-0.014506,4.399736,1.917771,-2.892983
1515627134.815,0.671866,0.120915,-0.007345,4.367971,1.857812,-2.767912
1515627134.825,0.68096,0.120356,-0.019824,4.275493,1.671984,-2.533251
1515627134.835,0.706149,0.084908,-0.034282,4.108751,1.452339,-2.251679
1515627134.845,0.676805,0.002649,-0.023191,3.82145,1.20571,-1.96313
1515627134.855,0.625951,-0.054708,0.00108,3.445542,0.880763,-1.692954
1515627134.865,0.578341,-0.063058,0.005394,3.029072,0.494267,-1.44371
1515627134.875,0.527134,-0.053173,-0.001289,2.625979,0.165364,-1.214341
1515627134.885,0.471286,-0.073259,-0.028349,0.100012,1.065106,-0.576085
1515627134.896,0.487609,-0.188394,0.39204,-0.700505,-0.191307,-0.428151
1515627134.906,0.453189,-0.284753,0.662454,-1.145167,-0.776953,-0.233173
1515627134.916,0.536033,-0.19614,0.435542,-0.944523,-0.845557,0.114036
1515627134.926,0.477235,-0.102436,0.348906,-0.46285,-0.671213,0.32915
1515627134.936,0.439565,-0.003371,0.24029,0.145097,-0.71561,0.306495
1515627134.946,0.42883,0.13422,0.189958,0.601278,-0.763951,0.160601
1515627134.956,0.374289,0.2192,0.150996,1.004094,-0.781089,0.03973
1515627134.966,0.307596,0.236816,0.141463,1.702707,-0.641186,-0.07598
1515627134.976,0.273743,0.213157,0.039212,3.748137,-0.833017,-0.266074
1515627134.986,0.27078,0.16862,-0.286886,2.381287,1.371165,-0.155705
1515627134.996,0.152559,0.136721,-0.307517,1.150166,0.497234,-0.290648
1515627135.006,-0.136794,-0.144732,0.398217,0.487283,0.479018,-0.581951
1515627135.016,0.023835,-0.188939,0.377076,0.527088,1.087674,-0.493132
1515627135.026,-0.064719,-0.026309,0.257431,1.042373,1.773876,-0.584685
1515627135.036,-0.22484,-0.052238,0.155027,1.394656,2.081601,-0.763622
1515627135.046,-0.220553,0.019045,0.133303,1.373357,2.232769,-0.942265
1515627135.056,-0.291719,0.015994,0.131457,1.283808,2.220025,-1.106317
1515627135.066,-0.310253,-0.033762,0.096266,1.354189,2.121877,-1.245309
1515627135.076,-0.271546,-0.053455,0.049991,2.093889,1.624344,-1.294553
1515627135.086,-0.208242,-0.073191,-0.064904,1.31099,2.091104,-1.211857
1515627135.096,-0.143843,-0.203706,-0.132494,0.873293,1.299695,-1.07607
1515627135.106,-0.171992,-0.363579,0.039062,0.567866,0.956518,-0.914793
1515627135.116,-0.028508,-0.34396,-0.030479,0.529916,0.687032,-0.654205
1515627135.126,-0.059612,-0.337395,-0.099423,0.454727,0.374396,-0.499639
1515627135.136,-0.064839,-0.331742,-0.133646,0.337169,0.01096,-0.386222
1515627135.146,-0.10175,-0.285774,-0.110548,0.201756,-0.247627,-0.325907
1515627135.156,-0.17299,-0.241922,-0.075616,0.172976,-0.400057,-0.311866
1515627135.166,-0.208187,-0.190599,-0.02332,0.156885,-0.375484,-0.290677
1515627135.176,-0.227973,-0.19311,0.045114,0.182884,-0.205098,-0.245055
1515627135.186,-0.227955,-0.229627,0.126911,0.287332,-0.048088,-0.179367
1515627135.196,-0.186091,-0.216592,0.163966,0.388624,0.01308,-0.161965
1515627135.206,-0.124109,-0.152206,0.09897,0.437865,0.038397,-0.17087
1515627135.216,-0.067538,-0.119295,0.053751,0.441521,0.052342,-0.200596
1515627135.226,-0.030066,-0.101695,0.021101,0.415668,0.095318,-0.240162
1515627135.236,-0.011632,-0.094211,0.011855,0.405077,0.229898,-0.264321
1515627135.246,-0.015075,-0.106608,0.032504,0.410024,0.46148,-0.292222
1515627135.256,-0.029064,-0.140261,0.079003,0.407605,0.68248,-0.331961
1515627135.266,-0.058388,-0.159464,0.101431,0.411606,0.888533,-0.381258
1515627135.276,-0.078987,-0.170868,0.105104,0.398918,1.008223,-0.415078
1515627135.286,-0.10678,-0.176791,0.091269,0.374007,1.147309,-0.483056
1515627135.296,-0.130999,-0.175716,0.052395,0.35718,1.185034,-0.565127
1515627135.306,-0.171465,-0.192544,0.033218,0.344985,1.187673,-0.693054
1515627135.316,-0.237986,-0.163252,-0.00381,0.358005,1.271806,-0.672376
1515627135.326,-0.295196,-0.199199,0.00315,0.343699,1.198276,-0.67067
1515627135.336,-0.262347,-0.18969,0.008555,0.276082,0.922675,-0.758684
1515627135.346,-0.188476,-0.189996,-0.020091,0.18125,0.573592,-0.834499
1515627135.356,-0.11052,-0.181201,-0.046492,0.079288,0.436621,-0.835129
1515627135.366,-0.022632,-0.167891,-0.039058,-0.031168,0.451762,-0.681995
1515627135.376,0.053375,-0.146438,-0.033422,-0.195134,0.531367,-0.560166
1515627135.386,0.124041,-0.162355,-0.014394,-0.421507,0.695636,-0.430279
1515627135.396,0.130379,-0.216754,0.005891,-0.610106,0.964187,-0.291061
1515627135.406,0.074589,-0.248641,-0.000539,-0.783233,1.10468,-0.173393
1515627135.416,0.034483,-0.1856,-0.060253,-0.880346,1.129746,-0.143593
1515627135.426,-0.036193,-0.159104,-0.12775,-0.799874,1.053479,-0.145016
1515627135.436,-0.072405,-0.060743,-0.190621,-0.596223,0.929741,-0.227117
1515627135.446,-0.004079,0.169492,-0.191889,0.314095,-0.177905,-0.336031
1515627135.456,0.209124,0.725639,-0.351227,-0.073364,-0.217436,-0.528251
1515627135.466,0.219823,0.474018,-0.338249,0.133457,-0.161733,-0.356252
1515627135.477,0.255036,0.127692,0.224135,0.400902,0.239533,-0.266468
1515627135.487,0.352543,0.33308,0.279239,0.581753,0.745427,-0.349884
1515627135.497,0.2035,0.202462,0.340975,0.624404,1.433913,-0.530178
1515627135.507,0.097744,0.259451,0.320549,0.526464,2.07244,-0.813501
1515627135.517,-0.021844,0.229084,0.262399,0.434441,2.527307,-1.063304
1515627135.527,-0.122801,0.16808,0.218028,0.378737,2.70311,-1.203941
1515627135.537,-0.17806,0.147642,0.070354,-0.200205,3.007631,-1.496324
