time,accel x,accel y,accel z,gyro x,gyro y,gyro z
1515632275843,0.005532,0.028371,0.040484,-0.00488,0.126913,-0.18797
1515632275853,0.000368,0.007822,0.03427,-0.008803,0.140225,-0.172179
1515632275864,-0.034947,-0.006845,0.014343,0.027853,0.149999,-0.161197
1515632275875,-0.044557,-0.004875,-0.011859,0.074568,0.167051,-0.124694
1515632275885,-0.04417,0.002767,-0.012794,0.023867,0.166919,-0.101685
1515632275907,-0.011144,0.022478,-0.004543,-0.002128,0.23833,-0.043377
1515632275896,-0.00206,0.00805,0.000848,0.036162,0.208133,-0.066424
1515632275917,-0.016288,0.00941,-0.004376,0.013449,0.197176,-0.071316
1515632275928,-0.016611,0.004031,0.013599,0.072906,0.210661,-0.094306
1515632275939,-0.020201,-0.016132,0.015274,0.118609,0.201074,-0.099112
1515632275949,-0.020011,-0.008352,0.0116,0.184787,0.164839,-0.06019
1515632275960,-0.029732,0.000469,-0.02598,0.185866,0.175655,0.083118
1515632275971,-0.033801,-0.010545,-0.035912,0.07368,0.098973,0.182506
1515632275981,0.000116,-0.003655,-0.029714,-0.012612,0.113315,0.18605
1515632275992,-0.002046,0.042686,0.013731,0.104748,0.177892,0.083018
1515632276003,-0.00387,0.036779,0.042708,0.166533,0.216847,0.041833
1515632276013,-0.030485,-0.029102,0.010244,0.241086,0.240037,0.057729
1515632276024,-0.040673,-0.064869,-0.000464,0.37595,0.163885,0.219364
1515632276035,-0.046677,-0.015916,-0.072208,0.331092,0.064302,0.361326
1515632276046,0.01974,0.035052,-0.046089,0.256868,-0.145543,0.350162
1515632276056,-0.016138,0.1119,0.017815,0.201148,-0.139526,0.220155
1515632276067,-0.017228,0.072366,0.005751,0.151347,-0.085013,0.086548
1515632276078,-0.009469,0.007729,0.052007,0.129462,-0.037733,-0.006957
1515632276088,-0.028304,-0.01544,0.071258,0.18153,-0.052166,0.007671
1515632276099,-0.052246,-0.006602,0.057888,0.330603,-0.151241,0.058798
1515632276110,-0.05305,-0.024033,0.006811,0.506441,-0.269661,0.126951
1515632276120,-0.053368,-0.004727,-0.033198,0.693784,-0.398953,0.184177
1515632276131,-0.052324,0.035919,-0.057624,0.970201,-0.715869,0.190385
1515632276142,-0.060435,0.057498,-0.083567,1.187432,-1.212204,0.047027
