time,accel x,accel y,accel z,gyro x,gyro y,gyro z
1515650841859,0.206587,-0.001744,0.087414,0.087682,-0.990137,1.201239
1515650841869,0.226651,-0.012753,0.241952,-0.138837,-1.114558,1.093489
1515650841879,0.184819,-0.097756,0.389292,-0.368079,-0.972072,0.957663
1515650841889,0.097786,-0.144172,0.464586,-0.445335,-0.572398,0.687444
1515650841899,0.061677,-0.107815,0.457003,-0.277169,0.020687,0.452225
1515650841909,0.099744,-0.156243,0.396338,0.007098,0.369936,0.413209
1515650841920,0.124992,-0.173708,0.283544,0.235997,0.370435,0.450657
1515650841930,0.190177,-0.094041,0.180748,0.26513,0.135924,0.443356
1515650841940,0.226025,-0.007882,0.089116,0.042058,-0.576913,0.382225
1515650841950,0.243231,-0.005522,-0.086442,-0.04297,-1.412791,0.36976
1515650841960,0.274951,-0.016191,-0.116191,0.131896,-1.886215,0.448593
1515650841970,0.24761,-0.009655,0.018109,0.156827,-1.644786,0.605088
1515650841980,0.22016,-0.001071,0.269527,0.129258,-1.153562,0.697453
1515650841990,0.21789,0.033893,0.336098,0.058704,-0.877451,0.716625
1515650842000,0.199298,-0.001861,0.380692,-0.145078,-0.724184,0.797357
1515650842010,0.201296,-0.045622,0.394822,-0.293888,-0.506723,0.929008
1515650842020,0.181701,-0.036946,0.446203,-0.268771,0.112423,0.967619
1515650842030,0.1557,-0.018318,0.507409,-0.032587,1.106726,0.884243
1515650842040,0.197307,0.044875,0.489753,0.39789,2.399872,0.717475
1515650842051,0.259128,0.167298,0.454134,0.682122,3.681517,0.406181
1515650842061,0.320913,0.310616,0.349055,0.528661,4.495389,-0.038217
1515650842071,0.448175,0.404476,0.281267,0.146973,4.996536,-0.643495
1515650842081,0.612413,0.457659,0.267228,-0.290002,5.082835,-1.452954
1515650842091,0.544996,0.338942,0.268605,-0.52332,4.689077,-1.481347
1515650842101,0.011607,-0.161847,0.148991,-0.801675,3.783477,0.33874
1515650842111,-0.182681,-0.587417,0.086704,-0.785434,2.843799,1.865146
