time,accel x,accel y,accel z,gyro x,gyro y,gyro z
1515649101190,0.014453,-0.061799,-0.082272,0.677314,-1.797153,-0.061996
1515649101200,-0.000029,-0.092619,-0.187156,0.792085,-1.925123,0.102053
1515649101210,-0.021101,-0.136085,-0.206007,0.8901,-1.665448,0.295574
1515649101220,-0.033918,-0.153777,-0.12997,0.978371,-1.314686,0.479419
1515649101230,-0.064367,-0.148403,-0.076436,1.007301,-0.975344,0.554655
1515649101240,-0.091244,-0.085189,0.011755,0.957811,-0.655572,0.425309
1515649101250,-0.106992,0.000878,0.086147,0.821495,-0.382458,0.14696
1515649101260,-0.105619,0.053521,0.15138,0.624965,-0.194134,-0.137429
1515649101270,-0.105676,0.067492,0.186425,0.409677,-0.133975,-0.298829
1515649101280,-0.080263,0.052951,0.184506,0.213866,-0.241536,-0.332009
1515649101290,-0.023525,0.02421,0.139915,0.069168,-0.453144,-0.309779
1515649101300,0.040752,-0.031208,0.085785,0.003979,-0.673301,-0.244119
1515649101310,0.078259,-0.079419,0.049536,-0.004041,-0.869758,-0.170189
1515649101321,0.07195,-0.087342,0.019373,0.05135,-0.992028,-0.1105
1515649101331,0.053119,-0.054536,0.018739,0.147723,-0.968066,-0.131221
1515649101341,0.040099,0.000188,0.029815,0.297952,-0.871689,-0.246191
1515649101351,0.018946,0.034347,0.044654,0.486334,-0.787526,-0.466982
1515649101361,0.006791,0.042108,0.048406,0.721552,-0.801594,-0.727343
1515649101371,0.016991,0.03955,0.02806,0.922998,-0.864567,-0.86902
1515649101381,0.034337,0.042113,0.019381,1.005909,-0.979936,-0.887378
1515649101391,0.049625,0.04052,0.016554,0.906422,-1.027724,-0.817513
1515649101401,0.082134,0.010159,0.064966,0.663538,-0.911504,-0.636231
1515649101411,0.141979,0.002192,0.105932,0.554347,-0.859771,-0.333758
1515649101421,0.191898,-0.051604,0.0924,0.592119,-0.675083,-0.178311
1515649101431,0.165279,-0.062401,0.107304,0.614171,-0.587072,-0.196661
1515649101441,0.119009,-0.052004,0.059289,0.650283,-0.629514,-0.257607
1515649101452,0.099853,-0.066513,0.017348,0.695037,-0.744877,-0.300349
1515649101462,0.090466,-0.072122,0.008633,0.720446,-1.191322,-0.135518
1515649101472,0.088604,-0.068778,-0.009903,0.652424,-1.559715,0.005062
1515649101482,0.04203,-0.075218,-0.016709,0.597156,-1.948233,0.107185
1515649101492,0.01433,-0.031499,-0.02884,0.509258,-2.449768,0.079369
1515649101502,-0.014834,-0.073323,-0.091613,0.513283,-2.845374,-0.08026
1515649101512,-0.085844,-0.112042,-0.100071,0.586605,-2.962858,-0.324858
1515649101522,-0.07723,-0.115297,-0.077441,0.666049,-2.975262,-0.582425
1515649101532,-0.036712,-0.10532,-0.068682,0.737871,-2.89153,-0.786708
1515649101542,0.006122,-0.110612,-0.05557,0.718319,-2.696858,-0.949105
1515649101552,0.084885,-0.159498,-0.033529,0.494071,-2.418279,-1.087257
1515649101562,0.253089,-0.28821,0.032424,0.215363,-1.445025,-0.911173
1515649101572,0.60927,-0.557642,0.148758,0.137462,-0.197604,-0.378708
1515649101583,0.542916,-0.617107,0.037484,0.115425,0.209142,-0.100535
1515649101593,-0.013744,-0.121266,-0.139959,0.170553,0.208797,0.0017
1515649101603,-0.116046,-0.044383,-0.116096,0.29628,0.377304,0.016967
1515649101613,0.045723,-0.198594,-0.091241,0.295122,0.404842,-0.134632
1515649101623,-0.02813,-0.145687,-0.100697,0.398978,0.377378,-0.365598
1515649101633,-0.054009,-0.128105,-0.130805,0.541989,0.380751,-0.526321
1515649101643,-0.055538,-0.142032,-0.154068,0.690329,0.378444,-0.61875
1515649101653,-0.031213,-0.10753,-0.159024,0.869398,0.383381,-0.641935
1515649101663,0.013371,-0.08207,-0.161144,1.08267,0.263776,-0.592524
1515649101673,0.047385,-0.074365,-0.168258,1.298359,0.016497,-0.505609
1515649101683,0.089408,-0.095887,-0.135026,1.481105,-0.197252,-0.501854
1515649101693,0.100766,-0.128926,-0.083262,1.59402,-0.462527,-0.52015
1515649101703,0.129498,-0.09746,-0.024727,1.622085,-0.687671,-0.47302
1515649101714,0.131698,-0.067431,0.047927,1.555596,-0.802788,-0.417088
1515649101724,0.141673,-0.067602,0.107592,1.425495,-0.905176,-0.37371
1515649101734,0.14816,-0.057644,0.130586,1.307855,-0.893926,-0.336931
1515649101744,0.145991,-0.0444,0.148376,1.208172,-0.855885,-0.290658
1515649101754,0.160524,-0.016998,0.149163,1.113014,-0.945359,-0.237838
1515649101764,0.176357,0.016586,0.150896,1.030608,-1.05086,-0.18612
1515649101774,0.176535,0.040014,0.170292,0.930079,-1.108218,-0.131183
1515649101784,0.204111,0.057953,0.195062,0.80926,-1.0919,-0.038888
1515649101794,0.226665,0.081424,0.214444,0.706463,-1.072594,0.109893
1515649101804,0.238691,0.11781,0.23381,0.61933,-0.948323,0.274488
1515649101814,0.252197,0.153054,0.256206,0.532458,-0.93979,0.444563
1515649101824,0.249258,0.177799,0.239313,0.419834,-1.267464,0.557527
1515649101834,0.229516,0.213429,0.252291,0.280283,-1.400284,0.682106
1515649101844,0.232708,0.239865,0.306923,0.150959,-1.359925,0.889686
1515649101855,0.207044,0.218267,0.334823,0.021517,-1.276224,1.000075
1515649101865,0.136497,0.130488,0.358914,-0.110206,-1.152473,0.812622
1515649101875,0.130253,0.054076,0.372296,-0.262323,-0.927337,0.477829
