time,accel x,accel y,accel z,gyro x,gyro y,gyro z
1515651251087,0.078268,-0.078074,-0.068838,0.501975,-1.186305,-0.654325
1515651251097,0.120204,-0.034772,0.054718,-0.197731,-0.53546,-0.318057
1515651251107,0.165802,-0.026507,0.159842,-0.815211,0.325831,0.191577
1515651251117,0.127913,-0.101017,0.036703,-1.087137,0.624603,0.272416
1515651251127,0.050517,-0.052081,-0.125202,-1.053232,0.60228,0.042811
1515651251137,0.026686,-0.10545,-0.159208,-0.741715,0.596571,-0.129293
1515651251147,0.033344,-0.145726,-0.178892,-0.318674,0.479609,-0.268645
1515651251157,0.041775,-0.12729,-0.167465,0.048664,0.165013,-0.341338
1515651251167,0.057466,-0.122034,-0.103603,0.24535,-0.125723,-0.359959
1515651251178,0.092945,-0.084409,-0.014336,0.234798,-0.146101,-0.362022
1515651251188,0.106578,-0.044623,0.065848,0.060834,-0.055061,-0.246116
1515651251198,0.074564,-0.086103,0.051601,-0.153582,0.115295,-0.161089
1515651251208,0.091202,-0.185101,0.038954,-0.311034,0.39333,-0.150091
1515651251218,0.135874,-0.202956,0.009034,-0.39416,0.606203,-0.132927
1515651251228,0.156535,-0.218398,-0.031587,-0.429023,0.565091,-0.07402
1515651251238,0.145438,-0.255733,-0.059865,-0.403036,0.320694,-0.03433
1515651251248,0.128503,-0.290163,-0.088429,-0.254081,0.051204,-0.045302
1515651251258,0.116388,-0.307625,-0.117004,-0.027774,-0.219987,-0.098231
1515651251268,0.106798,-0.317635,-0.135064,0.261847,-0.371055,-0.138772
1515651251278,0.11267,-0.321385,-0.167847,0.548918,-0.324178,-0.128315
1515651251288,0.095777,-0.257191,-0.184894,0.68464,-0.363325,-0.145924
1515651251298,0.078622,-0.161345,-0.137029,0.720832,-0.438139,-0.160927
1515651251309,0.090852,-0.111314,-0.067828,0.702008,-0.549626,-0.159639
1515651251319,0.106903,-0.110267,-0.021185,0.639779,-0.67948,-0.153875
1515651251329,0.109708,-0.09948,0.001197,0.575314,-0.759928,-0.173779
1515651251339,0.100792,-0.08399,-0.008052,0.538209,-0.758723,-0.22272
1515651251349,0.086207,-0.089601,-0.011826,0.480691,-0.636305,-0.313356
1515651251359,0.075943,-0.106582,0.04026,0.319559,-0.147713,-0.417881
1515651251369,0.084946,-0.111306,0.064085,0.256213,0.221712,-0.414871
1515651251379,0.105158,-0.153827,0.046099,0.094034,0.730575,-0.287798
1515651251389,0.134993,-0.183231,0.038352,0.083693,1.100741,-0.186816
1515651251399,0.173818,-0.136912,0.007048,0.066579,1.192947,0.004203
1515651251409,0.152388,-0.099528,-0.042607,0.066979,1.02733,0.129293
1515651251419,0.09311,-0.066976,-0.044591,0.159206,1.01255,0.14066
1515651251429,0.072227,-0.030911,-0.022533,0.291459,1.106107,0.150652
1515651251439,0.085295,-0.001757,-0.004672,0.309333,1.181633,0.270029
1515651251450,0.087878,0.003889,0.044885,0.209732,1.195512,0.434815
1515651251460,0.104816,0.015543,0.10874,0.087071,1.088578,0.534741
1515651251470,0.123295,0.007394,0.14802,-0.017213,0.813794,0.573956
1515651251480,0.130916,-0.034352,0.152434,-0.054528,0.443966,0.591653
1515651251490,0.135353,-0.067699,0.131075,-0.018689,0.057198,0.612265
1515651251500,0.122258,-0.046917,0.086086,0.003573,-0.421569,0.596758
1515651251510,0.083754,0.0087,0.023519,0.055064,-0.704135,0.571275
1515651251520,0.056809,0.006012,-0.017746,0.167566,-0.785131,0.552751
1515651251530,0.033381,0.004476,-0.073295,0.266946,-0.683033,0.548997
1515651251540,-0.006483,0.003848,-0.12799,0.316,-0.348594,0.54517
1515651251550,-0.058403,-0.008625,-0.126854,0.314289,-0.061284,0.508526
1515651251560,-0.043078,-0.017919,-0.056524,0.235085,0.288016,0.456116
1515651251570,-0.004662,-0.02112,-0.036157,0.09684,0.499997,0.404138
1515651251581,-0.022979,-0.027621,-0.03243,-0.002166,0.692969,0.320001
1515651251591,-0.055874,-0.02918,-0.025877,-0.03853,0.834678,0.240992
