time, accel x, accel y, accel z, gyro x, gyro y, gyro z
1515663996706,0.047851562,3.3643036,10.083359,0.0,0.0,0.0
1515663996727,0.047851562,3.3643036,10.083359,0.0,0.0,0.0
1515663996747,0.047851562,3.3643036,10.083359,0.0,0.0,0.0
1515663996768,0.047851562,3.3643036,10.083359,0.0,0.0,0.0
1515663996789,-0.25602722,3.0867462,9.76033,0.12414551,-0.2677307,0.19485474
1515663996810,0.2871399,3.5557404,9.3703,0.14614868,-0.21763611,0.08734131
1515663996832,-0.5647125,3.4695892,9.353546,0.1669159,0.25146484,0.18141174
1515663996852,0.021530151,3.5461578,9.61676,0.2512207,0.5068207,0.24494934
1515663996873,0.36849976,2.9694977,8.379669,0.33917236,0.234375,0.1826477
1515663996894,0.61016846,3.4576263,8.504089,0.20721436,-0.14801025,-0.021377563
1515663996919,-0.39242554,3.1680908,8.884552,0.054504395,-0.22131348,-0.09712219
1515663996944,-0.32781982,3.7662964,8.391632,-0.10795593,0.21972656,0.114227295
1515663996965,0.119644165,2.7350006,9.365509,-0.18858337,0.4493866,0.00793457
1515663996987,0.5694885,2.6967163,9.702896,-0.024887085,0.29179382,-0.56015015
1515663997008,-1.6917267,3.7160492,8.726624,0.14247131,-0.30073547,-0.4819641
1515663997031,0.033493042,3.8165588,8.061417,-0.27900696,-0.35813904,0.093444824
1515663997053,0.9451599,3.4743805,9.456436,-0.36453247,-0.28240967,-0.20950317
1515663997074,-0.2679901,3.1633148,9.363113,-0.072525024,0.06700134,-0.43919373
1515663997095,-0.69869995,3.505478,9.085556,0.18156433,-0.10891724,-0.3964386
1515663997117,-1.1509552,4.063019,7.865204,0.25242615,-0.23596191,0.073898315
1515663997138,-1.2562256,4.266403,7.0660095,0.14369202,-0.0124053955,0.58335876
1515663997161,0.42591858,3.419342,5.613556,-0.07131958,0.7865906,1.0072937
1515663997191,2.4191437,2.7062836,7.204788,-0.32176208,2.0376434,0.24250793
1515663997221,-0.0382843,2.8139648,7.602005,0.27442932,2.908722,-0.85580444
1515663997245,-0.007171631,3.0197449,6.6807556,0.9011688,3.94841,-1.1319122
1515663997266,1.8879395,2.297104,3.4504547,0.9036102,4.263626,-1.9883575
1515663997287,3.3619232,-0.31585693,5.2737885,0.9170532,4.294159,-3.5790405
1515663997308,-4.0869446,-4.3453674,4.043869,1.9481812,3.4976044,-4.3878326
1515663997332,-4.381256,1.5314026,1.8831482,1.384964,3.3338928,-3.1379852
1515663997353,-4.7617188,0.0143585205,3.3212433,0.8779602,2.8109894,-2.859436
1515663997375,-5.1062775,-0.99302673,5.108673,0.69348145,3.0492249,-2.6871643
1515663997396,-5.6973114,-1.450058,4.405182,0.63604736,3.4181976,-2.8912048
1515663997417,-5.9126587,-1.7682953,5.7332,0.59451294,3.0101318,-3.3347015
1515663997439,-7.0157623,-3.1752777,8.080566,1.0221252,3.109085,-3.8918
1515663997460,-11.36351,-2.9120636,7.2717896,1.9408569,3.600235,-4.054291
1515663997482,-13.052841,-3.3619232,2.8498535,2.2487335,3.0431213,-3.7244263
1515663997504,-12.9021,-3.1824493,1.0911255,1.8541107,2.0669556,-3.4165344
1515663997527,-12.191437,-3.448059,3.3619232,1.5608978,1.6576691,-3.1770782
1515663997549,-12.067001,-4.208969,3.505478,2.0422516,1.3791199,-3.0023804
1515663997571,-11.550156,-5.11586,0.5048828,2.066681,0.94174194,-2.9755096
1515663997593,-11.19841,-5.625519,-0.071777344,1.7795868,0.71817017,-3.039032
1515663997616,-11.559723,-6.3385925,2.2253265,1.8504333,1.309494,-3.169754
1515663997639,-12.10051,-6.6783752,2.1511536,2.31958,2.3736267,-3.0964508
1515663997662,-11.614761,-6.1327972,-0.4737854,2.526062,2.8403015,-3.056137
1515663997685,-11.837296,-7.2669983,-4.754532,1.8724365,2.0840607,-3.1025696
1515663997706,-15.818954,-6.817154,-10.937592,0.21456909,1.2154083,-2.5356903
1515663997728,-15.818954,-6.817154,-10.937592,0.21456909,1.2154083,-2.5356903
1515663997749,-15.818954,-6.817154,-10.937592,0.21456909,1.2154083,-2.5356903
1515663997770,-9.568893,-7.523041,2.8713837,-0.98760986,-2.4106293,-0.86680603
1515663997792,-8.616562,-7.841278,4.5056915,0.3648224,-2.7954865,-1.1160278
1515663997813,-8.276779,-6.6831512,4.031906,0.57496643,-1.8327637,-1.0060883
1515663997834,-10.167099,-4.9411774,3.7591248,1.0697632,-0.36914062,-0.65667725
1515663997855,-8.444275,-3.1896362,-0.33021545,1.254242,0.22337341,0.08856201
1515663997876,-6.757324,-2.498108,0.6771698,0.35871887,1.2142029,0.43798828
