time, accel x, accel y, accel z, gyro x, gyro y, gyro z
1515664208201,-1.7850494,3.0436707,8.989838,0.0,0.0,0.0
1515664208222,-2.0219421,2.9766693,9.0759735,0.0,0.0,0.0
1515664208244,-1.5146637,2.9551392,9.94696,0.0,0.0,0.0
1515664208264,-0.9834442,3.4791565,10.143173,-0.25700378,-0.14923096,0.30480957
1515664208288,-0.6628113,3.9338074,10.698303,-0.077423096,-0.035598755,0.27183533
1515664208310,-1.2322998,3.7184448,10.224533,0.1852417,0.10487366,0.14109802
1515664208331,-1.4428711,3.4002075,9.22673,0.19012451,0.29179382,0.26203918
1515664208353,-1.105484,3.8332977,8.896515,0.14247131,0.25636292,0.28282166
1515664208373,-1.0456696,3.9481506,8.181061,0.1510315,0.06210327,0.24127197
1515664208395,-0.94755554,4.2879333,8.73381,0.008087158,-0.09913635,0.20341492
1515664208416,-1.1198425,3.7734833,9.604797,-0.0309906,0.0071258545,0.17529297
1515664208437,-1.2275238,3.5389862,9.162125,-0.03466797,0.17207336,0.24861145
1515664208460,-0.047851562,4.1443634,8.260025,-0.032226562,0.087768555,0.25839233
1515664208483,-1.2897339,3.7016907,7.35553,-0.0786438,-0.15167236,0.16552734
1515664208506,-0.94755554,3.637085,6.18544,-0.16661072,-0.5963745,0.19485474
1515664208533,0.1986084,2.9312134,5.8097687,-0.59542847,-0.96777344,0.19241333
1515664208556,0.5431671,2.5052795,5.539383,-1.0718994,-1.0349884,0.22906494
1515664208579,0.29670715,1.0648041,3.907486,-1.7756195,-0.81629944,0.26327515
1515664208600,1.3016968,1.0624084,5.230713,-2.3864899,-0.6269226,0.55892944
1515664208627,-0.32781982,0.20578003,8.018356,-2.8263092,0.20140076,0.57725525
1515664208649,2.0697937,1.1437683,10.408783,-2.5416412,0.8537903,0.53570557
1515664208671,3.3332062,1.5912323,9.5234375,-1.8440399,0.4933777,0.0066986084
1515664208693,2.938385,1.935791,11.8349,-0.16905212,-1.9769287,-0.58335876
1515664208715,2.8570251,-1.282547,4.771286,0.110702515,-2.4607239,-0.28648376
1515664208738,3.3188477,-6.1878357,8.901306,-1.4029846,-3.379486,-0.17897034
1515664208762,-0.43070984,-2.8115692,13.797012,-1.908783,-2.5645752,1.0537262
1515664208784,0.81355286,1.7826538,13.895126,-1.0267029,-1.006897,0.84114075
1515664208806,2.6727905,1.8951111,11.787048,-0.05543518,-1.3966217,-0.5064087
