time, accel x, accel y, accel z, gyro x, gyro y, gyro z
1515664080505,-0.46180725,2.5076752,6.742981,0.0,0.0,0.0
1515664080527,0.08135986,2.490921,7.7934265,0.0,0.0,0.0
1515664080553,0.4857483,1.5601196,7.7455597,0.0,0.0,0.0
1515664080578,2.0817566,3.1011047,7.9465637,-0.4292755,-0.5682831,-0.021377563
1515664080599,0.8446655,0.6795654,9.317657,-2.5318604,-0.3215027,0.32435608
1515664080620,1.9142609,1.4452667,10.980667,-2.7639923,0.51660156,0.27304077
1515664080641,1.0145569,1.6175537,11.3563385,-2.3779297,0.38220215,-0.08001709
1515664080662,0.6197357,0.090927124,9.265015,-1.7597351,-0.927475,-0.1349945
1515664080683,2.8594208,0.727417,9.253052,-0.9546051,-2.766159,-0.18508911
1515664080704,1.4021912,0.3900299,9.150162,-1.262497,-3.9891205,0.16796875
1515664080725,1.9525452,0.6963043,11.952148,-1.7902832,-3.789978,0.95599365
1515664080746,4.6540375,-0.41874695,15.134598,-1.4286346,-2.5462646,1.5998383
1515664080767,6.0346985,-1.4931183,12.466614,-0.47937012,-0.7967377,1.5314178
1515664080788,5.2570343,-0.6460571,8.863022,0.025177002,-0.32270813,0.58947754
1515664080810,4.864609,0.5790558,7.9657135,0.32328796,-0.7173462,-0.72753906
1515664080833,3.3882294,-0.4785614,7.594818,0.4931183,-1.0032196,-1.0415039
1515664080855,3.9026947,-1.0169525,9.2482605,0.7679901,-1.7533569,-0.6737671
1515664080878,4.5224304,-1.0959167,9.403793,0.5896301,-0.89082336,-0.31581116
1515664080901,4.0079803,0.21774292,8.281555,0.08383179,0.2050476,-0.2119751
1515664080922,4.146759,-0.5359955,8.298309,-0.02734375,-0.06980896,-0.056793213
1515664080944,4.2879333,-0.01675415,8.204987,0.12902832,-0.19442749,0.02748108
1515664080966,5.0847473,0.27278137,7.862808,-0.0957489,-0.6208191,-0.22050476
1515664080988,4.864609,-0.37327576,10.17189,0.05206299,-0.88594055,-0.33169556
1515664081009,3.8452606,-0.3517456,8.673981,0.27075195,-0.79429626,-0.18997192
1515664081031,4.8957214,-0.5479584,10.66481,0.26586914,-0.46444702,-0.03237915
1515664081053,4.2257233,-0.25125122,8.355743,0.4002533,-0.18832397,0.0995636
1515664081075,5.166107,0.105285645,7.927429,0.20233154,-0.35447693,0.15696716
1515664081097,5.5752716,0.5240326,7.520645,-0.21914673,-0.48277283,0.06291199
1515664081119,5.4915314,-0.04307556,11.047668,-0.10307312,-0.38746643,0.05558777
1515664081141,5.1756744,0.22970581,9.631119,0.06794739,0.2527008,0.20585632
1515664081163,6.419937,1.4045868,7.188034,-0.20082092,0.597229,0.1643219
1515664081185,5.4556427,0.447464,6.2309113,-0.26190186,-0.09547424,-0.1166687
1515664081207,6.357727,0.41874695,6.06102,0.026412964,-1.6556091,-0.25350952
1515664081230,5.7714844,0.6388855,7.755142,-0.041992188,-1.875534,-0.41477966
1515664081252,5.4053802,-1.0528412,8.078171,0.11437988,-1.7594757,-0.3622284
1515664081275,5.4676056,-0.36849976,5.522629,0.43569946,-1.494339,-0.1960907
1515664081297,4.187439,-1.2442627,5.271393,0.2536621,-1.6165161,-0.28648376
1515664081319,3.6753693,-4.067795,9.461227,0.8706207,-1.836441,-0.1325531
1515664081341,5.264206,-3.8763733,10.8059845,2.5333862,-1.2952118,-0.4477539
1515664081362,2.6871338,-3.9050903,2.950348,3.597519,-0.023391724,-0.66400146
1515664081385,-0.090927124,1.414154,-6.3218384,1.5230255,0.2160492,1.2418671
1515664081406,0.8446655,0.49531555,8.384445,-0.3975067,-0.6513672,3.6950989
1515664081427,2.3018951,-5.967697,8.597412,0.54319763,-0.8627167,5.085434
1515664081448,7.5684967,-3.0029907,6.8769684,1.5596771,-0.6513672,5.346863
1515664081470,10.80838,-1.907074,1.902298,0.8144226,-0.8773804,4.017624
1515664081492,6.731003,-3.1298065,4.7066803,0.104599,-1.1131744,3.5277252
1515664081514,7.377075,-5.149353,7.470398,0.5322113,-1.0081024,3.5374908
1515664081535,7.1641083,-5.079956,2.4765778,0.58473206,-0.6990204,3.4873962
1515664081557,7.2933197,-7.487137,1.9836426,0.27807617,-0.92259216,3.4910736
1515664081579,6.8362885,-8.824738,-2.720642,0.31472778,-2.092987,4.01886
1515664081600,8.626129,-8.195419,-0.9834442,0.1204834,-3.6164856,4.6504974
1515664081621,22.463821,-5.8289185,2.292328,-2.0346222,-2.2310638,5.0341034
1515664081642,18.281158,-5.2378845,5.9557343,-1.9552002,-1.5811005,3.3322449
1515664081664,16.469803,-6.541977,8.848663,-1.3565674,-1.3807373,2.0042267
1515664081687,13.835297,-6.5371857,6.2404785,-1.1207733,-0.37402344,1.5924988
1515664081709,15.950562,-3.5724792,7.841278,-1.8758087,1.318039,1.251648
1515664081731,18.08496,-1.7395782,11.509476,-1.9112244,3.9948425,-0.114227295
1515664081754,13.588837,-7.319641,7.771881,-1.5679321,7.0589294,-1.2504272
1515664081778,7.4775696,-11.064407,4.7521515,-1.7279816,8.906189,-0.8607025
1515664081801,8.317459,-7.171295,4.6325073,-1.3394623,9.590347,0.19361877
1515664081824,13.129425,-1.5218353,4.019943,-0.6870575,9.155411,-0.3964386
1515664081853,13.808975,-0.22732544,0.72024536,0.28051758,7.8139496,-2.584549
1515664081874,11.050049,-4.101303,-3.3092804,0.058181763,6.842682,-3.961441
1515664081895,11.050049,-4.101303,-3.3092804,0.058181763,6.842682,-3.961441
1515664081917,11.050049,-4.101303,-3.3092804,0.058181763,6.842682,-3.961441
1515664081938,5.1637115,-6.9583282,-0.31825256,-1.7194214,6.8585663,-5.0170135
1515664081963,7.176071,-5.95813,-3.0604248,-1.9271088,6.134079,-6.1263275
1515664081984,4.3046875,-11.344376,-7.211975,-2.154358,5.4474792,-6.9974213
1515664082005,0.14596558,-16.596619,-8.200211,-2.9448242,3.4548492,-7.218567
1515664082028,-3.9266205,-19.941788,-6.18544,-2.8764038,-0.11746216,-6.3108063
1515664082050,-5.9198456,-18.226135,-0.9714813,-1.8403625,-3.802185,-5.4055176
1515664082071,-3.3260193,-18.888947,3.6227264,1.0673218,-8.670761,-4.1789093
1515664082092,-2.2827454,-18.228516,6.65683,3.9053955,-11.816711,-2.9229736
1515664082113,2.8259277,-15.421738,7.8795624,8.996307,-16.051208,-1.243103
1515664082134,5.4317017,-13.667801,8.642868,12.288864,-16.433609,-0.2461853
1515664082155,8.630905,-11.976074,5.9078827,13.962631,-14.658447,0.009140015
1515664082176,11.042877,-13.057632,3.6275177,14.128784,-11.97554,-0.7397461
1515664082198,9.808182,-13.485947,-0.5934143,13.075653,-8.66832,-1.1087036
1515664082220,10.956741,-10.597809,-8.099701,10.1203,-4.1858063,-0.7837219
1515664082242,11.145767,-4.6588287,-17.233109,3.4618988,0.6302185,-0.5027313
1515664082263,8.731415,-4.536789,-13.476379,-0.7811279,3.6808624,-0.7984009
1515664082285,10.236496,-6.317047,-4.261612,-1.9772034,3.3253326,-1.334732
1515664082306,9.408585,-9.748352,-0.9308014,-0.75671387,2.4017181,-1.626709
1515664082328,5.8863373,-7.972885,-3.1872406,-0.21302795,1.6637878,-0.67744446
1515664082350,10.559525,-6.070587,-0.8949127,0.34405518,0.18551636,-0.43554688
1515664082371,11.612366,-6.45105,0.65802,1.0929718,-0.8126221,-0.86924744
1515664082394,7.9489594,-7.3938293,3.6634064,1.5059204,-1.0398712,-0.64811707
1515664082423,10.25325,-4.9818573,2.1248322,1.6977234,-0.74176025,0.017700195
1515664082445,8.6931305,-5.54895,1.414154,1.9848328,-1.416153,0.004257202
1515664082466,8.6931305,-5.54895,1.414154,1.9848328,-1.416153,0.004257202
1515664082486,11.432907,-2.2324982,1.5003052,2.119217,-1.25,-0.5222931
1515664082508,9.5282135,-1.9812622,2.1870422,1.232254,-0.81752014,-0.63591003
