time, accel x, accel y, accel z, gyro x, gyro y, gyro z 
1515687048492,0.96191406,-3.5461578,10.241287,0.67100525,0.18760681,0.21635437
1515687048513,0.96191406,-3.5461578,10.241287,0.67100525,0.18760681,0.21635437
1515687048534,0.95474243,-2.8043823,9.343979,0.20185852,-0.23022461,0.60975647
1515687048555,0.50727844,-2.9144592,7.298111,-0.12861633,-0.71525574,0.86875916
1515687048575,1.9214325,-3.5485535,9.174088,-0.7816467,-0.76779175,1.1644135
1515687048596,2.8283234,-3.9505463,13.344772,-0.20742798,-0.70181274,1.0984497
1515687048617,1.4667969,-3.7782745,11.078766,0.76690674,-0.0048217773,1.2248993
1515687048637,2.297104,-2.445465,9.9039,0.86587524,0.09414673,1.3708954
1515687048659,2.9312134,-1.8879395,7.1569366,0.65267944,-0.57658386,1.095993
1515687048680,2.864212,-2.1990051,6.171097,-0.041885376,-0.5301666,1.1088257
1515687048701,2.658432,-2.5387878,8.092529,-0.9697876,0.048324585,1.1729736
1515687048723,1.7730865,-3.5246277,11.961716,-1.285614,0.7123413,1.5737
1515687048744,3.2662048,-5.2570343,12.906891,-0.9942322,1.3073273,2.0055847
1515687048766,3.6969147,-4.3358,12.373291,-0.21109009,1.673233,1.8265991
1515687048787,2.3449707,-3.517456,8.111664,0.16764832,1.0587006,1.3623352
1515687048809,3.069992,-4.3238373,6.08255,-0.5018616,0.9407959,0.992157
1515687048831,0.6388855,-2.6273193,4.587036,-1.3375397,-0.23205566,0.9432831
1515687048854,4.0055847,-2.892929,4.0701904,-3.0528564,0.55778503,0.73069763
1515687048875,2.8522491,-2.399994,8.470596,-3.4499207,1.347641,0.939621
1515687048896,-0.33738708,-5.022537,10.80838,-2.8347778,1.2584534,1.1326599
1515687048917,-2.732605,-7.623535,10.600204,-1.7144318,0.6927948,0.9774933
1515687048938,-4.5511475,-6.0849457,11.478363,0.030197144,0.91819763,0.7270355
1515687048961,0.22013855,-3.3044891,3.9146576,0.33685303,1.089859,1.1845703
1515687048983,5.6111755,-2.572281,2.5770721,-0.75109863,1.6023712,-0.106796265
1515687049004,2.7134552,-4.6325073,2.6129608,-1.3906708,1.9627838,-1.2375183
1515687049027,-0.050247192,-5.802597,4.984253,-1.3558655,1.6995087,-1.8123322
1515687049049,-2.2588196,-7.3579254,7.613968,-0.8311157,2.281662,-1.9681091
1515687049070,-3.3356018,-11.373093,11.590836,0.14137268,2.3201447,-1.418335
1515687049093,2.2827454,-9.489929,6.7501526,1.1395416,1.1295624,-0.6852875
1515687049119,1.9286194,-4.960327,6.460617,0.57691956,2.1869812,-0.694458
1515687049140,2.7637177,-6.1040955,8.291138,0.6459503,2.4331665,-0.90275574
1515687049161,3.151352,-7.578064,6.1375885,0.68566895,2.5101318,-1.4397125
1515687049183,-2.6273193,-6.9918213,4.096512,-0.017440796,3.0159302,-1.9314575
1515687049204,-8.681168,-11.6315155,3.110672,-1.1212921,2.7282104,-0.6364136
1515687049226,1.3280182,-4.857437,2.4837494,-1.7547607,1.9297943,-0.13183594
1515687049249,0.04547119,-8.408386,2.5052795,-2.790802,2.617035,-0.5783844
1515687049271,-0.22732544,-9.190826,3.1872406,-5.3839417,5.7068176,-1.2216339
1515687049295,-3.7543335,-11.377869,22.408783,-0.8408966,-0.112335205,-2.018814
1515687049317,-6.6089783,-9.891922,4.7736816,1.1670227,3.773407,-0.69200134
1515687049339,-2.6727905,-11.078766,2.4550323,0.90312195,5.2132263,-0.30166626
1515687049360,-2.141571,-8.788834,-1.0624084,1.2012329,1.8839874,-0.86183167
1515687049383,-2.325821,-9.023331,-2.1678925,0.52438354,0.21264648,-1.406723
1515687049405,-2.926422,-8.989838,1.5792694,-0.31860352,-0.3438568,-1.7940063
1515687049426,-3.5198364,-4.393219,-3.728012,-0.4267273,-0.09950256,-2.1385498
1515687049448,0.37806702,-8.659622,3.0628204,-1.4755859,0.23951721,-0.96751404
1515687049469,-4.76651,-10.719849,1.9381866,-1.4969788,1.9750061,-1.9198608
1515687049491,-10.3537445,-9.647858,2.273178,-1.0931854,3.3146362,-0.7060547
1515687049523,-2.9120636,-9.035294,1.454834,-0.9148102,1.1234589,0.4429779
1515687049545,-1.6534424,-10.511673,7.1401825,-0.9080963,0.43989563,-0.0206604
1515687049566,-3.6011963,-10.593033,6.932007,0.10533142,0.40568542,-0.8605957
1515687049588,-1.8855438,-6.69751,1.9788666,-0.42733765,2.3164825,-2.32547
1515687049611,-1.2801666,-9.734009,-0.41635132,-0.28256226,1.1906586,-1.7756805
1515687049634,0.2536316,-9.461227,1.1700897,0.51400757,0.7960205,-1.9338989
1515687049656,-1.3471527,-11.490341,1.3016968,0.555542,1.6750793,-1.8856506
1515687049682,-5.54895,-12.421143,0.57188416,0.5659332,2.6029816,-2.3266907
1515687049704,-5.864807,-13.897522,-0.99780273,-0.41757202,2.4380493,-1.6083069
1515687049725,-3.0795593,-11.34198,-0.95474243,-1.1151733,2.1442108,-1.054245
1515687049747,-0.23210144,-9.705292,0.0143585205,-1.8121796,0.8858185,-0.6950531
1515687049769,0.279953,-6.891327,-0.3397827,-2.0565338,0.87605286,-0.733551
1515687049790,-0.48335266,-3.780655,-0.28234863,-2.3692932,1.7801361,-0.45866394
1515687049813,0.105285645,-5.0440674,0.9523468,-2.3534088,1.4429321,-0.59609985
1515687049835,0.830307,-8.721832,0.87815857,-1.9771118,0.5150299,-1.509964
1515687049857,0.34217834,-11.89711,-0.50727844,-1.7730865,0.27616882,-2.571045
1515687049878,-1.9238281,-13.397415,-2.6488495,-2.0461426,1.1894379,-3.544159
1515687049901,-2.876175,-12.4618225,-1.7180481,-2.3692932,2.183319,-3.600357
1515687049927,-2.376068,-9.96611,-0.42114258,-2.0455322,2.1533813,-2.386551
1515687049948,-2.1894379,-9.353546,-0.31825256,-1.3784637,1.9463043,0.3079834
1515687049970,5.139786,-10.37767,0.4905243,-3.4493103,-1.4238586,3.9292145
1515687049991,7.7479553,-12.313461,-0.059814453,-3.8463745,-2.0084686,3.1692963
1515687050014,9.800995,-13.473984,7.7838593,-2.9563446,-0.8435364,0.7435303
1515687050039,1.8185425,-12.500107,0.92362976,0.93489075,1.9010925,-0.9058075
1515687050061,1.1940155,-13.883163,0.98106384,0.9416199,1.8809357,-0.42445374
1515687050083,-1.105484,-14.395218,1.9692993,-0.088912964,1.0440369,-0.25706482
1515687050104,-3.5820618,-14.280365,0.42591858,0.9611664,1.2389069,0.11555481
1515687050125,-2.3521423,-15.256638,-0.1483612,2.5689697,1.0012817,0.565155
