time, accel x, accel y, accel z, gyro x, gyro y, gyro z
1515648600,0.13713,-0.009738,0.062077,0.566464,0.753604,0.243063
1515648600,0.139251,0.048558,0.068988,0.880141,0.80772,0.123133
1515648600,0.067525,-0.066779,0.081313,1.049294,0.890758,0.133527
1515648600,-0.003211,-0.052644,0.079187,0.845067,0.971179,0.454269
1515648600,-0.026966,-0.001241,0.092117,0.666097,1.148875,0.623771
1515648601,-0.064111,0.073345,0.066444,0.71457,1.391721,0.484309
1515648601,-0.07529,0.086042,0.059637,0.871997,1.735333,0.266485
1515648601,-0.136544,-0.010766,-0.052177,0.902095,1.780861,0.209075
1515648601,-0.096235,-0.047874,-0.01604,0.707014,1.693748,0.264621
1515648601,-0.056826,-0.156193,-0.009269,0.256788,1.018092,0.353274
1515648601,-0.097624,-0.229135,0.13223,-0.271749,0.402109,0.533146
1515648601,-0.129939,-0.189805,0.357702,-0.667496,0.793287,0.774984
1515648601,-0.171223,-0.158937,0.536355,-0.836989,1.923287,1.16784
1515648601,-0.258695,-0.02385,0.396532,-0.562016,2.621947,1.370261
1515648601,-0.178126,0.104683,0.424872,0.058469,2.638013,0.858688
1515648601,-0.220971,0.123741,0.500648,0.672702,2.748528,0.677362
1515648601,-0.133939,0.128743,0.706103,0.836618,3.524733,0.921807
1515648601,0.075052,0.127829,0.79626,0.751953,4.915119,1.700688
1515648601,-0.079885,0.272929,0.771009,0.474041,5.754665,2.66748
1515648601,-0.25525,0.450938,0.716204,0.597364,5.556836,2.179102
1515648601,-0.656433,0.119558,0.356203,0.550037,4.25112,0.637644
1515648601,-0.122978,0.446114,0.219556,0.499867,4.265178,-1.38186
1515648601,0.093764,0.56909,0.094516,0.749501,2.977961,-2.166357
1515648601,0.342823,0.373619,0.267895,0.734397,2.218009,-1.998758
1515648601,0.44967,0.399815,0.280501,0.684511,2.537949,-1.896874
1515648601,0.512927,0.472527,0.109219,0.451363,3.065778,-2.180676
1515648601,0.509607,0.460805,-0.004917,-0.195582,2.684787,-2.930686
1515648601,0.54581,0.407397,0.013708,-0.746454,2.123368,-3.319956
1515648601,0.646371,0.456521,0.119107,-0.765092,1.937864,-3.194222
1515648601,0.736437,0.570747,0.200889,-0.378268,1.976343,-2.885427
1515648601,0.755072,0.686199,0.273274,-0.098636,2.557476,-2.917349
1515648601,0.804553,0.691807,0.235567,-0.007998,3.016019,-3.391298
1515648601,0.976195,0.68873,0.101319,-0.155735,3.358547,-3.868518
1515648601,1.121419,0.671559,-0.028897,-0.601639,3.118036,-4.23718
1515648601,1.164543,0.548728,-0.113302,-1.205973,2.4532,-4.384792
1515648601,1.0081,0.316754,-0.18155,-1.767267,1.802584,-4.056951
1515648601,0.822901,0.085203,-0.268017,-2.056057,1.453245,-3.582975
1515648601,0.616728,-0.135517,-0.359744,-2.174155,1.131492,-3.172101
1515648601,0.497781,-0.261925,-0.391178,-2.421574,0.796064,-2.674493
1515648601,0.465863,-0.233019,-0.415061,-2.964345,0.529565,-2.116588
1515648601,0.450204,-0.170053,-0.424587,-3.546969,0.046156,-1.626975
1515648601,0.389927,-0.155408,-0.402058,-3.850125,-0.4797,-1.216925
