timestamp(unix),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),user_acc_x(G),user_acc_y(G),user_acc_z(G),timestamp(unix),User Mark
,,,,,,,1515649602,
,,,,,,,1515650027,
1515650027,0.09814,-0.02219,0.023736,0.002757,-0.010027,-0.023737,,
,,,,,,,1515650027,
,,,,,,,1515650027,
1515650027,0.140659,-0.051073,0.014964,-0.013183,-0.010836,-0.001201,,
1515650027,0.099244,-0.072636,0.008749,-0.004458,-0.01524,0.035352,,
1515650027,0.009981,-0.086834,0.02509,0.008662,-0.017682,0.06086,,
,,,,,,,1515650027,
,,,,,,,1515650027,
1515650027,-0.125925,-0.126809,-0.006242,-0.000199,-0.01459,0.057602,,
1515650027,-0.233152,-0.119454,-0.040807,0.003927,-0.008071,0.043681,,
1515650027,-0.270375,-0.049751,-0.028792,0.014015,-0.002925,0.046298,,
1515650027,-0.282102,-0.046601,-0.008526,0.018233,-0.003304,0.023904,,
1515650027,-0.266133,-0.094873,-0.019333,-0.0001,0.003007,-0.019499,,
1515650027,-0.188589,-0.155944,-0.009188,0.007317,-0.003602,-0.038502,,
1515650027,-0.080347,-0.156904,0.048775,0.016033,-0.004677,-0.02103,,
1515650027,-0.017713,-0.214826,0.077075,0.014151,-0.005079,-0.010098,,
1515650027,-0.089628,-0.342474,-0.068518,-0.048359,0.055147,-0.006349,,
1515650027,-0.204187,-0.490798,-0.136325,-0.059195,0.061483,0.015908,,
1515650027,-0.327294,-0.571513,-0.188001,-0.059636,0.048942,0.015323,,
1515650027,-0.509857,-0.712487,-0.249089,-0.079671,0.053633,0.035204,,
1515650027,-0.677584,-0.699836,-0.311003,-0.104616,0.062323,0.083672,,
1515650027,-0.725301,-0.632161,-0.36275,-0.113566,0.065713,0.092728,,
1515650027,-0.63815,-0.557789,-0.391732,-0.097674,0.042585,0.043474,,
1515650027,-0.509586,-0.559624,-0.402978,-0.055533,0.011642,-0.015055,,
