time, accel x, accel y, accel z, gyro x, gyro y, gyro z
1515636913.91001, 0.008027, -0.029742, -0.004701, -0.028549, 0.101981, 0.203217
1515636913.92002, 0.010549, -0.019791, -0.016799, -0.021033, 0.107814, 0.201395
1515636913.93003, 0.005851, -0.005811, -0.01018, -0.014076, 0.114311, 0.199542
1515636913.94001, -0.001001, 0.013775, 0.008619, -0.007738, 0.12062, 0.197328
1515636913.95002, -0.007148, 0.01554, 0.035467, -0.001916, 0.126242, 0.194681
1515636913.96003, -0.016485, 0.002001, 0.05237, 0.003715, 0.130869, 0.191749
1515636913.97004, -0.025263, -0.012684, 0.054291, 0.009449, 0.134634, 0.18872
1515636913.98005, -0.024924, -0.019647, 0.037056, 0.015088, 0.137894, 0.18584
1515636913.99006, -0.024591, -0.01756, 0.025701, 0.020524, 0.140849, 0.183097
1515636914.00007, -0.007912, -0.022826, 0.011396, 0.025604, 0.143529, 0.180415
1515636914.01008, 0.005341, -0.018147, 0.011232, 0.030141, 0.146022, 0.177723
1515636914.02009, 0.014113, -0.009462, 0.0211, 0.034199, 0.148708, 0.174927
1515636914.0301, 0.018986, -0.011004, 0.040097, 0.037747, 0.151841, 0.172076
1515636914.04011, 0.02423, -0.016142, 0.066372, 0.04091, 0.155335, 0.169199
1515636914.05012, 0.033982, -0.016132, 0.087844, 0.044011, 0.159068, 0.166234
1515636914.06013, 0.04017, -0.011948, 0.106469, 0.047406, 0.163106, 0.163099
1515636914.07014, 0.033593, -0.000453, 0.116331, 0.051564, 0.167597, 0.159662
1515636914.08015, 0.022859, -0.003586, 0.114246, 0.056735, 0.172701, 0.156003
1515636914.09016, 0.014777, -0.009397, 0.104201, 0.062469, 0.178066, 0.152458
1515636914.10017, 0.016182, 0.004496, 0.095789, 0.068511, 0.18299, 0.148976
1515636914.11018, 0.020086, 0.010917, 0.080315, 0.074698, 0.186946, 0.145426
1515636914.12019, 0.030085, 0.02028, 0.065089, 0.080578, 0.189767, 0.14183
1515636914.1302, 0.033993, 0.021827, 0.067538, 0.086125, 0.191529, 0.138108
1515636914.14021, 0.031578, 0.013702, 0.071257, 0.091577, 0.192501, 0.134266
1515636914.15022, 0.026679, 0.004722, 0.073114, 0.09702, 0.192928, 0.130544
1515636914.1602, 0.021392, 0.004864, 0.072557, 0.102437, 0.193073, 0.127011
1515636914.17021, 0.034899, 0.005028, 0.061068, 0.107525, 0.192804, 0.123613
1515636914.18022, 0.050589, 0.007518, 0.054728, 0.11203, 0.19158, 0.120373
