time, accel x, accel y, accel z, gyro x, gyro y, gyro z
1515638083.52449, 0.024044, 0.050566, -0.020853, -0.055898, 0.41424, 2.093027
1515638083.54451, 0.037664, 0.032146, 0.012494, -0.060751, 0.404159, 2.113041
1515638083.55452, 0.038741, 0.022401, 0.033545, -0.062313, 0.400002, 2.123775
1515638083.56453, 0.04182, 0.011761, 0.050681, -0.063272, 0.396902, 2.134792
1515638083.57454, 0.049613, 0.008552, 0.062043, -0.063944, 0.394912, 2.145824
1515638083.58455, 0.056399, 0.005787, 0.076051, -0.064758, 0.393949, 2.156676
1515638083.59452, 0.073108, 0.007919, 0.087975, -0.065765, 0.393813, 2.167263
1515638083.60453, 0.088746, 0.015525, 0.087695, -0.067016, 0.394184, 2.177667
1515638083.61454, 0.103207, 0.024359, 0.091786, -0.068618, 0.394795, 2.188035
1515638083.62452, 0.113683, 0.026298, 0.103477, -0.070538, 0.39554, 2.198531
1515638083.63453, 0.11781, 0.028887, 0.112541, -0.072611, 0.396411, 2.20944
1515638083.64454, 0.131481, 0.028981, 0.11549, -0.074928, 0.39734, 2.220866
1515638083.65455, 0.14042, 0.020936, 0.117008, -0.077596, 0.398297, 2.232837
1515638083.66456, 0.140544, 0.007748, 0.123864, -0.080572, 0.399301, 2.24532
1515638083.67456, 0.128947, 0.00079, 0.127216, -0.083783, 0.400378, 2.258229
1515638083.68457, 0.116558, -0.001551, 0.125357, -0.087218, 0.401482, 2.271328
1515638083.69458, 0.109342, -0.006673, 0.110277, -0.091139, 0.402548, 2.284422
1515638083.70459, 0.107161, -0.01343, 0.098643, -0.095893, 0.403514, 2.297293
1515638083.7146, 0.101437, -0.016553, 0.089706, -0.101484, 0.404431, 2.309715
1515638083.72461, 0.094068, -0.012638, 0.057154, -0.107799, 0.405272, 2.32165
1515638083.73462, 0.095855, -0.009507, 0.011526, -0.114785, 0.405956, 2.333017
1515638083.74463, 0.089444, -0.005516, -0.038594, -0.12196, 0.40633, 2.343631
1515638083.75464, 0.057857, 0.005942, -0.088102, -0.128481, 0.406195, 2.35345
1515638083.76465, 0.020229, 0.013403, -0.134835, -0.133523, 0.405298, 2.362549
1515638083.77466, 0.009568, 0.02047, -0.166412, -0.136438, 0.403492, 2.371161
1515638083.78467, 0.008407, 0.033946, -0.169432, -0.136871, 0.400907, 2.379639
1515638083.79468, 0.019514, 0.055992, -0.152931, -0.135208, 0.397907, 2.388782
1515638083.80469, 0.049235, 0.067268, -0.129666, -0.132239, 0.395045, 2.399177
1515638083.8147, 0.079805, 0.063913, -0.090105, -0.128627, 0.392832, 2.411064
1515638083.82471, 0.104929, 0.0537, -0.041535, -0.124716, 0.391737, 2.424385
1515638083.83472, 0.106485, 0.03504, 0.007333, -0.120503, 0.392003, 2.438995
1515638083.84473, 0.099151, 0.015802, 0.049305, -0.11613, 0.393592, 2.454845
1515638083.85474, 0.095354, 0.000638, 0.076414, -0.111885, 0.39629, 2.471827
1515638083.86475, 0.090501, -0.01093, 0.101285, -0.1081, 0.399781, 2.489659
1515638083.87476, 0.083934, -0.025043, 0.118364, -0.105076, 0.403828, 2.507934
1515638083.88477, 0.088996, -0.046556, 0.115028, -0.102762, 0.408181, 2.525788
1515638083.89478, 0.135438, -0.058828, 0.107639, -0.100869, 0.412403, 2.541832
1515638083.90479, 0.154305, -0.083796, 0.09026, -0.100202, 0.415682, 2.555004
1515638083.9148, 0.141556, -0.101814, 0.102343, -0.100819, 0.417704, 2.565299
1515638083.92481, 0.129995, -0.095156, 0.094692, -0.102264, 0.418711, 2.573464
1515638083.93482, 0.103969, -0.067491, 0.085066, -0.104226, 0.419231, 2.580731
1515638083.94483, 0.086959, -0.02961, 0.047156, -0.106816, 0.419574, 2.588098
1515638083.95484, 0.078172, -0.010385, 0.028731, -0.10986, 0.419907, 2.595941
1515638083.96485, 0.061858, -0.014231, 0.019722, -0.112752, 0.42029, 2.604203
1515638083.97486, 0.058744, -0.017231, 0.000268, -0.115148, 0.420464, 2.612745
1515638083.98487, 0.060949, -0.017808, -0.02695, -0.117042, 0.42015, 2.621333
1515638083.99488, 0.06009, -0.016224, -0.046479, -0.118492, 0.419345, 2.62974
1515638084.00489, 0.052009, -0.015752, -0.055578, -0.11951, 0.418441, 2.637901
1515638084.0149, 0.042625, -0.01641, -0.057615, -0.120049, 0.417821, 2.64593
1515638084.02488, 0.037723, -0.016054, -0.059053, -0.12012, 0.41766, 2.653885
1515638084.03489, 0.046271, -0.02227, -0.048744, -0.11991, 0.418071, 2.661807
1515638084.04489, 0.054239, -0.03247, -0.030691, -0.119733, 0.419099, 2.669824
1515638084.0549, 0.057959, -0.040759, -0.007182, -0.119715, 0.420699, 2.678021
1515638084.06491, 0.058302, -0.04738, 0.022352, -0.119933, 0.422724, 2.686406
1515638084.07492, 0.051659, -0.055314, 0.038729, -0.120368, 0.424951, 2.694865
1515638084.08493, 0.043526, -0.067757, 0.056233, -0.120967, 0.427239, 2.703334
1515638084.09494, 0.041341, -0.080231, 0.06902, -0.121637, 0.429613, 2.711754
1515638084.10495, 0.030709, -0.09055, 0.071966, -0.122388, 0.43206, 2.72016
1515638084.11496, 0.017815, -0.104332, 0.080286, -0.123073, 0.434579, 2.728516
1515638084.12497, 0.014254, -0.120097, 0.085571, -0.123465, 0.437084, 2.736761
1515638084.13498, 0.017357, -0.135834, 0.085863, -0.123368, 0.439387, 2.744657
1515638084.14499, 0.020766, -0.146759, 0.089902, -0.122759, 0.441361, 2.751955
1515638084.155, 0.01997, -0.14984, 0.0922, -0.121762, 0.442999, 2.758665
1515638084.16501, 0.007865, -0.149666, 0.092646, -0.120475, 0.444357, 2.764957
1515638084.17502, 0.005431, -0.146478, 0.082491, -0.119188, 0.445522, 2.770928
1515638084.18503, 0.003264, -0.155862, 0.081855, -0.118093, 0.446639, 2.776623
1515638084.19504, -0.000754, -0.157508, 0.079648, -0.11725, 0.447793, 2.782103
1515638084.20505, -0.013576, -0.160355, 0.071343, -0.116544, 0.448968, 2.787249
1515638084.21506, -0.020666, -0.163764, 0.070964, -0.115748, 0.450181, 2.791885
1515638084.22507, -0.021397, -0.169724, 0.064404, -0.114814, 0.451459, 2.796017
1515638084.23508, -0.019311, -0.173037, 0.058057, -0.113755, 0.452763, 2.799632
1515638084.24509, -0.013432, -0.172635, 0.05178, -0.112533, 0.454042, 2.80269
1515638084.2551, 0.000049, -0.166648, 0.04286, -0.111221, 0.455203, 2.805194
1515638084.26511, 0.018297, -0.157328, 0.023338, -0.110179, 0.456219, 2.807437
1515638084.27512, 0.043677, -0.148701, 0.000474, -0.109777, 0.457229, 2.809695
1515638084.28513, 0.049528, -0.137785, -0.009386, -0.110134, 0.458614, 2.812294
1515638084.29514, 0.042084, -0.124264, -0.010881, -0.11097, 0.460675, 2.815547
1515638084.30515, 0.028156, -0.11742, -0.010352, -0.111877, 0.463343, 2.819614
1515638084.31516, 0.015407, -0.113286, -0.002591, -0.112509, 0.466466, 2.824485
1515638084.32517, 0.009284, -0.119989, 0.012045, -0.112806, 0.469933, 2.830101
1515638084.33518, 0.004002, -0.13139, 0.030571, -0.112952, 0.473715, 2.836491
