time, accel x, accel y, accel z, gyro x, gyro y, gyro z
1515638022.55455, -0.021223, 0.018671, 0.055726, 0.088985, 0.192091, 2.782881
1515638022.56456, -0.019076, 0.014428, 0.059566, 0.08635, 0.192028, 2.783949
1515638022.57457, -0.018709, 0.011621, 0.065042, 0.083325, 0.192076, 2.785207
1515638022.58458, -0.01568, 0.013693, 0.069352, 0.079806, 0.191995, 2.786744
1515638022.59459, -0.022366, 0.011687, 0.075289, 0.075608, 0.191583, 2.788675
1515638022.6046, -0.038463, 0.012619, 0.065845, 0.070532, 0.190838, 2.791143
1515638022.61458, -0.049364, 0.011802, 0.044228, 0.064453, 0.190037, 2.794197
1515638022.62459, -0.056168, 0.006236, 0.022175, 0.057209, 0.189684, 2.797712
1515638022.6346, -0.056038, 0.002567, 0.019243, 0.049071, 0.190407, 2.801338
1515638022.64461, -0.050231, 0.005817, 0.018538, 0.040648, 0.192614, 2.804673
1515638022.65462, -0.048504, 0.0103, 0.015993, 0.032485, 0.196172, 2.807627
1515638022.66463, -0.046878, 0.010562, 0.030223, 0.024717, 0.200485, 2.810497
1515638022.67464, -0.045104, 0.005816, 0.049156, 0.017315, 0.205049, 2.813608
1515638022.68465, -0.040198, 0.000268, 0.066365, 0.0101, 0.209609, 2.817128
1515638022.69466, -0.046591, -0.006299, 0.058248, 0.003019, 0.213957, 2.821008
1515638022.70467, -0.036081, -0.013239, 0.033764, -0.003757, 0.217694, 2.824932
1515638022.71468, -0.026818, -0.023689, 0.029652, -0.009952, 0.220417, 2.82855
1515638022.72469, -0.02307, -0.024912, 0.020095, -0.0153, 0.222087, 2.831751
1515638022.7347, -0.010875, -0.021613, 0.013879, -0.019954, 0.222716, 2.834464
1515638022.74471, -0.002529, -0.011736, 0.007568, -0.024506, 0.222518, 2.836848
1515638022.75472, 0.011714, 0.000287, 0.001161, -0.029471, 0.222126, 2.839228
1515638022.76473, 0.024466, 0.011102, -0.012635, -0.035179, 0.222013, 2.84175
1515638022.77474, 0.030275, 0.018826, -0.015374, -0.04183, 0.222297, 2.844459
1515638022.78475, 0.029548, 0.025277, -0.008746, -0.049283, 0.223123, 2.847441
1515638022.79476, 0.025581, 0.027305, -0.015341, -0.057452, 0.224734, 2.850852
1515638022.80477, 0.023509, 0.027392, -0.018637, -0.066372, 0.227375, 2.854708
1515638022.81478, 0.033436, 0.026468, -0.018656, -0.07566, 0.230892, 2.858915
1515638022.82479, 0.041039, 0.015575, -0.011612, -0.084765, 0.234594, 2.863346
1515638022.8348, 0.042891, 0.003481, 0.008595, -0.093211, 0.237991, 2.867956
1515638022.8448, 0.04901, -0.006653, 0.019775, -0.10051, 0.240989, 2.872692
1515638022.85481, 0.047008, -0.021434, 0.035769, -0.106553, 0.243807, 2.877327
1515638022.86482, 0.046276, -0.0328, 0.04389, -0.111673, 0.246986, 2.881824
1515638022.87483, 0.042949, -0.051467, 0.063289, -0.116332, 0.250853, 2.886099
1515638022.88484, 0.035759, -0.065209, 0.084449, -0.120646, 0.255446, 2.890037
1515638022.89485, 0.044121, -0.072433, 0.098603, -0.124802, 0.260521, 2.893697
1515638022.90486, 0.062162, -0.094755, 0.124061, -0.129191, 0.26569, 2.89697
1515638022.91487, 0.069894, -0.118646, 0.140604, -0.133912, 0.270553, 2.899734
1515638022.92488, 0.076662, -0.130963, 0.149566, -0.139157, 0.274479, 2.902064
1515638022.93489, 0.065536, -0.129235, 0.148772, -0.144935, 0.277163, 2.904031
1515638022.94487, 0.056745, -0.122517, 0.120068, -0.151187, 0.278626, 2.905572
1515638022.95488, 0.051886, -0.118133, 0.088487, -0.158086, 0.278949, 2.906647
1515638022.96489, 0.039288, -0.109483, 0.058163, -0.165527, 0.278375, 2.907237
1515638022.9749, 0.032478, -0.101034, 0.024975, -0.173214, 0.277324, 2.90727
1515638022.98491, 0.034303, -0.099842, -0.001711, -0.180922, 0.275977, 2.906768
1515638022.99492, 0.034466, -0.090552, -0.022753, -0.188671, 0.274674, 2.905905
1515638023.00493, 0.04209, -0.083388, -0.034096, -0.196596, 0.273795, 2.904924
1515638023.01494, 0.052906, -0.078693, -0.028371, -0.204906, 0.273521, 2.90402
1515638023.02495, 0.06087, -0.080089, -0.015434, -0.213807, 0.273894, 2.903476
1515638023.03496, 0.058857, -0.081978, -0.013448, -0.223325, 0.274451, 2.90331
1515638023.04497, 0.058727, -0.081967, -0.016318, -0.232999, 0.274685, 2.903278
1515638023.05498, 0.060385, -0.074976, -0.026299, -0.242457, 0.274719, 2.903256
1515638023.06499, 0.057392, -0.067377, -0.024993, -0.25162, 0.275306, 2.903351
1515638023.075, 0.056654, -0.065226, -0.016659, -0.260655, 0.276955, 2.903747
1515638023.08501, 0.052501, -0.066334, -0.00556, -0.269638, 0.279388, 2.904294
1515638023.09502, 0.04079, -0.07058, 0.006169, -0.278118, 0.281957, 2.904315
1515638023.10503, 0.02842, -0.067831, 0.020626, -0.285464, 0.284629, 2.903416
1515638023.11504, 0.015228, -0.062601, 0.028005, -0.291198, 0.287329, 2.90143
1515638023.12505, 0.014008, -0.048912, 0.03958, -0.295259, 0.289607, 2.898168
1515638023.13506, 0.021198, -0.036812, 0.040161, -0.297707, 0.291391, 2.893931
1515638023.14507, 0.041778, -0.055184, 0.04114, -0.299128, 0.292203, 2.889031
1515638023.15508, 0.043113, -0.073062, 0.002705, -0.299907, 0.291173, 2.883942
1515638023.16509, 0.021261, 0.025858, 0.105323, -0.299443, 0.287954, 2.87865
1515638023.1751, 0.037758, -0.08731, -0.152138, -0.29624, 0.282284, 2.872402
1515638023.18511, -0.006738, -0.090613, -0.244036, -0.294639, 0.27515, 2.86676
1515638023.19512, -0.016708, -0.025635, -0.265487, -0.294091, 0.268552, 2.861265
1515638023.20513, -0.018592, -0.035699, -0.333211, -0.293054, 0.262865, 2.855248
1515638023.21514, -0.009793, -0.044258, -0.354285, -0.291421, 0.257781, 2.849266
1515638023.22515, 0.017255, -0.038035, -0.32058, -0.28836, 0.253221, 2.843553
1515638023.23516, -0.013553, -0.024087, -0.265927, -0.282203, 0.24908, 2.837905
1515638023.24517, -0.010715, 0.034845, -0.245189, -0.272377, 0.245306, 2.831559
1515638023.25517, 0.026119, 0.038706, -0.160723, -0.259754, 0.2418, 2.825085
1515638023.26518, 0.041286, 0.011308, -0.115388, -0.245001, 0.238649, 2.818958
1515638023.27516, 0.059599, 0.000557, -0.07278, -0.229697, 0.235971, 2.813171
1515638023.28517, 0.070626, 0.002271, -0.043513, -0.215233, 0.233639, 2.807676
1515638023.29518, 0.0499, -0.014922, -0.023512, -0.202518, 0.231432, 2.802524
1515638023.30519, 0.035764, -0.013717, -0.034688, -0.191856, 0.229503, 2.797699
1515638023.3152, 0.02638, -0.001177, -0.046197, -0.183447, 0.228295, 2.793039
1515638023.32521, 0.017505, 0.012146, -0.04834, -0.176971, 0.22792, 2.788472
1515638023.33522, 0.019436, 0.028736, -0.044166, -0.171698, 0.228253, 2.784213
1515638023.34523, 0.034421, 0.043108, -0.036878, -0.166776, 0.22916, 2.780544
1515638023.35524, 0.040792, 0.054479, -0.030785, -0.161697, 0.230699, 2.777719
1515638023.36525, 0.036537, 0.056345, -0.013892, -0.156446, 0.232851, 2.775893
1515638023.37526, 0.028917, 0.05193, 0.006048, -0.151105, 0.235403, 2.775019
1515638023.38527, 0.015049, 0.045221, 0.013019, -0.14586, 0.238202, 2.774945
1515638023.39528, 0.010377, 0.042756, 0.01344, -0.141123, 0.241225, 2.775425
1515638023.40529, 0.01133, 0.049119, 0.017469, -0.137436, 0.244527, 2.776236
1515638023.4153, -0.001343, 0.058471, 0.026111, -0.135165, 0.248018, 2.777246
1515638023.42531, -0.013339, 0.057959, 0.02145, -0.134166, 0.251379, 2.778329
1515638023.43532, -0.016173, 0.056987, 0.01638, -0.134094, 0.254205, 2.779297
1515638023.44533, -0.026206, 0.058401, 0.015824, -0.134462, 0.256297, 2.780042
1515638023.45534, -0.034971, 0.066675, 0.01352, -0.134626, 0.257547, 2.780537
1515638023.46535, -0.02728, 0.076888, 0.002994, -0.134405, 0.25801, 2.780829
1515638023.47536, -0.025834, 0.087226, -0.000672, -0.13386, 0.258002, 2.781037
1515638023.48537, -0.022623, 0.098071, -0.005402, -0.133132, 0.257951, 2.78133
1515638023.49538, -0.014396, 0.102907, -0.012759, -0.13236, 0.258107, 2.781756
1515638023.50539, -0.017019, 0.102322, -0.010914, -0.131711, 0.258622, 2.782507
1515638023.5154, -0.024788, 0.103775, 0.002041, -0.131039, 0.259494, 2.783666
1515638023.52541, -0.022445, 0.101615, 0.012548, -0.130227, 0.260638, 2.78509
1515638023.53539, -0.02117, 0.090677, 0.025198, -0.129341, 0.261904, 2.786524
1515638023.5454, -0.029884, 0.076866, 0.037111, -0.128393, 0.263087, 2.787847
1515638023.55541, -0.035452, 0.070023, 0.045797, -0.127295, 0.264012, 2.788944
1515638023.56542, -0.031869, 0.06984, 0.050336, -0.126117, 0.264598, 2.789791
1515638023.57543, -0.023639, 0.066841, 0.044967, -0.125109, 0.264763, 2.79048
1515638023.58544, -0.027046, 0.067045, 0.044443, -0.124316, 0.264563, 2.791189
1515638023.59545, -0.028119, 0.07237, 0.03152, -0.123674, 0.264089, 2.791907
1515638023.60542, -0.024602, 0.06994, 0.017796, -0.123248, 0.263485, 2.792634
1515638023.61543, -0.025846, 0.070606, 0.009483, -0.122965, 0.262894, 2.793382
1515638023.62544, -0.02952, 0.077369, 0.009645, -0.12267, 0.262518, 2.794158
1515638023.63545, -0.031226, 0.079714, 0.01019, -0.122336, 0.26245, 2.794927
1515638023.64546, -0.030179, 0.070261, 0.013028, -0.122099, 0.262679, 2.795701
1515638023.65547, -0.028628, 0.06569, 0.021352, -0.121963, 0.263065, 2.796432
1515638023.66548, -0.032967, 0.067234, 0.028036, -0.121872, 0.2634, 2.797097
1515638023.67549, -0.037424, 0.065365, 0.032165, -0.121781, 0.263582, 2.797731
1515638023.6855, -0.033054, 0.061201, 0.028556, -0.121677, 0.263599, 2.798356
1515638023.69551, -0.033585, 0.05587, 0.019242, -0.121597, 0.263482, 2.79888
1515638023.70552, -0.035979, 0.058692, 0.019523, -0.121384, 0.26326, 2.799286
1515638023.71553, -0.038801, 0.062278, 0.017791, -0.120898, 0.262976, 2.799555
1515638023.72554, -0.036793, 0.058321, 0.014546, -0.120342, 0.262734, 2.799709
1515638023.73555, -0.034549, 0.052244, 0.010307, -0.119892, 0.262571, 2.799692
1515638023.74556, -0.023778, 0.050553, 0.010067, -0.1196, 0.262448, 2.79941
1515638023.75557, -0.017416, 0.049833, 0.01041, -0.119403, 0.262272, 2.798853
1515638023.76558, -0.016041, 0.050735, 0.010537, -0.119107, 0.26191, 2.798172
1515638023.77559, -0.010165, 0.055095, 0.008529, -0.118546, 0.261243, 2.797473
1515638023.7856, -0.009363, 0.054407, 0.008323, -0.11773, 0.260325, 2.796859
1515638023.79561, -0.00986, 0.049654, 0.003978, -0.11683, 0.259275, 2.796454
1515638023.80562, -0.010088, 0.047942, 0.005487, -0.116019, 0.258198, 2.796278
1515638023.81563, -0.016037, 0.038031, 0.005074, -0.11553, 0.257212, 2.796332
1515638023.82564, -0.022821, 0.026615, 0.004204, -0.115448, 0.256405, 2.796439
1515638023.83565, -0.006784, 0.041944, 0.099705, -0.115356, 0.255972, 2.796386
1515638023.84566, 0.018639, -0.008956, 0.016893, -0.116047, 0.255676, 2.796315
1515638023.85567, 0.028493, 0.006774, 0.059494, -0.118807, 0.254129, 2.796515
1515638023.86568, 0.008504, 0.010098, 0.032676, -0.121905, 0.251668, 2.796945
1515638023.87569, -0.011591, 0.021879, 0.016454, -0.124621, 0.249244, 2.797439
1515638023.8857, -0.017205, 0.020425, -0.013713, -0.126852, 0.247508, 2.797799
1515638023.89571, -0.014627, 0.001851, -0.023199, -0.128734, 0.246842, 2.79802
1515638023.90572, -0.008147, -0.005667, -0.008483, -0.130411, 0.247336, 2.798261
1515638023.91573, -0.016703, -0.019137, -0.003662, -0.132173, 0.248614, 2.79877
1515638023.92574, -0.022369, -0.01909, 0.004117, -0.133912, 0.250394, 2.799583
1515638023.93572, -0.016076, -0.040857, 0.02112, -0.135408, 0.252986, 2.800722
1515638023.94573, -0.028776, -0.051465, 0.04565, -0.136788, 0.256562, 2.80198
1515638023.95574, -0.030455, -0.026692, 0.112584, -0.137585, 0.260927, 2.802817
1515638023.96575, -0.008608, -0.054107, 0.157314, -0.137694, 0.265642, 2.803053
1515638023.97576, 0.003348, -0.0783, 0.187531, -0.138008, 0.26989, 2.803029
1515638023.98577, 0.002615, -0.07235, 0.222423, -0.138865, 0.27304, 2.802786
1515638023.99577, -0.007923, -0.070116, 0.237176, -0.140244, 0.274981, 2.80222
1515638024.00578, -0.016793, -0.074628, 0.228732, -0.142301, 0.275668, 2.801214
1515638024.01579, -0.014283, -0.075279, 0.228555, -0.144908, 0.274991, 2.799615
1515638024.0258, -0.044308, -0.064521, 0.171823, -0.147995, 0.273201, 2.797327
1515638024.03581, -0.052786, -0.046492, 0.13832, -0.151618, 0.270817, 2.794392
1515638024.04582, -0.06222, -0.03316, 0.103432, -0.15572, 0.268311, 2.790884
1515638024.05583, -0.064394, -0.021887, 0.073595, -0.160142, 0.265934, 2.786799
1515638024.06584, -0.06539, -0.013234, 0.055965, -0.164314, 0.263675, 2.782
1515638024.07585, -0.053717, -0.007791, 0.031045, -0.167714, 0.261269, 2.776572
1515638024.08586, -0.032957, -0.003247, 0.024999, -0.169906, 0.258551, 2.770783
1515638024.09587, -0.027013, 0.001325, 0.034987, -0.170239, 0.255437, 2.764903
1515638024.10588, -0.023381, 0.006242, 0.039537, -0.168625, 0.251862, 2.759245
1515638024.11589, -0.011364, 0.005719, 0.051097, -0.16549, 0.247826, 2.754034
1515638024.1259, 0.003626, 0.009066, 0.069585, -0.161777, 0.24349, 2.74959
1515638024.13591, 0.002496, 0.012131, 0.081605, -0.158694, 0.239261, 2.746224
