time,accel x,accel y,accel z,gyro x,gyro y,gyro z
1515639553,-0.066243,0.009249,0.010109,-0.041745,0.497848,-0.059302
1515639553,-0.054879,0.009648,-0.031088,-0.137441,0.449454,-0.063805
1515639553,-0.061992,0.01078,-0.037336,-0.156818,0.355707,-0.04287
1515639553,-0.068685,0.011142,-0.030684,-0.100251,0.254907,-0.000605
1515639553,-0.059712,0.011889,-0.022101,-0.001177,0.178809,0.047114
1515639553,-0.043345,0.013225,-0.00882,0.097585,0.134587,0.101353
1515639553,-0.034863,0.010876,0.002119,0.182329,0.103054,0.151372
1515639553,-0.033267,0.012093,0.020203,0.263545,0.104477,0.198323
1515639553,-0.03485,0.023545,0.042385,0.322874,0.157913,0.230546
1515639553,-0.032053,0.042058,0.046895,0.343739,0.210118,0.241426
1515639553,-0.031684,0.048547,0.039237,0.316517,0.262076,0.238422
1515639553,-0.03731,0.04265,0.032427,0.244531,0.302094,0.23002
1515639553,-0.046794,0.037303,0.02626,0.153611,0.311183,0.214023
1515639553,-0.057388,0.03483,0.023959,0.048959,0.304226,0.203285
1515639553,-0.064305,0.033503,0.025246,-0.057852,0.298347,0.176555
1515639553,-0.064169,0.041223,0.032796,-0.136846,0.288424,0.131703
1515639553,-0.058921,0.047715,0.043051,-0.178539,0.288289,0.085842
1515639553,-0.050755,0.049361,0.045024,-0.18192,0.305328,0.066719
1515639553,-0.048705,0.041793,0.045909,-0.144857,0.339588,0.061546
1515639553,-0.048038,0.033069,0.043497,-0.089921,0.402698,0.039437
1515639553,-0.045316,0.033347,0.033118,-0.0352,0.487126,-0.001772
1515639553,-0.048019,0.038747,0.027142,-0.000315,0.523577,-0.043186
1515639553,-0.056598,0.041428,0.01707,0.017986,0.507792,-0.07416
1515639553,-0.058127,0.036281,0.011396,0.024941,0.451499,-0.088241
1515639553,-0.056619,0.026662,0.004796,0.035264,0.379246,-0.088525
1515639553,-0.053679,0.020557,0.006015,0.051153,0.284661,-0.076104
1515639553,-0.056392,0.013432,0.006313,0.067659,0.236831,-0.048572
1515639553,-0.062858,0.002843,0.00527,0.077977,0.275143,-0.034555
1515639553,-0.064195,-0.005319,0.008603,0.115657,0.356176,-0.02888
1515639553,-0.077046,-0.006495,0.022195,0.209117,0.416189,0.00552
1515639553,-0.092558,-0.005652,0.049734,0.358095,0.482815,0.079418
1515639553,-0.107928,-0.013322,0.090445,0.542324,0.552725,0.200253
1515639553,-0.136683,-0.021589,0.112843,0.73539,0.703462,0.342737
1515639553,-0.179144,-0.031107,0.127696,0.907773,0.893419,0.488567
1515639553,-0.220121,-0.043681,0.12065,1.013777,1.096822,0.635486
1515639553,-0.222532,-0.047114,0.103731,1.013312,1.259281,0.745943
1515639553,-0.173921,-0.006132,0.099634,0.937333,1.492655,0.810805
1515639553,-0.147987,0.066765,0.143425,0.862851,1.899466,0.842252
1515639553,-0.16946,0.12703,0.186604,0.82562,2.32139,0.87058
1515639553,-0.183682,0.144491,0.157142,0.839045,2.809466,0.930112
1515639553,-0.217072,0.114966,0.118369,0.897027,3.331751,1.020717
1515639553,-0.254446,0.059437,0.070574,0.972937,3.876568,1.071978
1515639553,-0.289214,0.019183,-0.111361,0.763878,3.191157,1.251429
1515639553,-0.381717,-0.07394,-0.412715,0.346351,1.975726,1.554449
1515639553,-0.364887,-0.131954,-0.372835,-0.189594,1.394619,1.80452
1515639553,-0.231267,-0.163248,-0.183728,-0.701205,1.59671,1.904232
1515639553,-0.08,-0.163387,-0.035415,-1.087545,1.874362,1.832674
1515639553,0.024611,-0.163924,-0.006244,-1.327276,1.796757,1.681933
1515639553,0.00712,-0.135515,-0.187196,-1.278035,1.451753,1.528121
1515639553,-0.019384,-0.114196,-0.093283,-1.057795,0.993941,1.375007
1515639553,0.012524,-0.037806,-0.014693,-0.636168,0.152488,1.142627
1515639553,0.106063,-0.001131,0.116665,-0.197438,-0.253836,0.877885
1515639553,0.143773,0.059072,0.168424,0.050356,-0.470033,0.707634
1515639553,0.025107,0.150121,0.119811,0.093346,-0.501419,0.587062
1515639553,-0.075039,0.238098,0.115261,0.003322,-0.373923,0.405228
1515639553,-0.124661,0.289847,0.127477,-0.192948,-0.202192,0.149966
1515639553,-0.099705,0.311835,0.091548,-0.461119,0.109571,-0.131418
1515639553,0.000417,0.299666,0.050617,-0.671546,0.312925,-0.298076
1515639553,0.011158,0.303779,0.056462,-0.756596,0.486862,-0.307015
1515639553,-0.032671,0.319613,0.080634,-0.771691,0.725766,-0.178135
1515639553,-0.049082,0.345541,0.07527,-0.788214,1.003906,-0.00219
1515639553,-0.056289,0.373939,0.104808,-0.797248,1.062978,0.188869
1515639553,-0.123358,0.393652,0.106907,-0.85167,0.845312,0.367068
1515639553,-0.128698,0.424411,0.062676,-0.9764,0.491362,0.439148
1515639553,-0.102011,0.455536,0.083024,-1.198263,0.127292,0.512211
1515639554,-0.224185,0.478354,0.128273,-1.566445,-0.015802,0.781178
1515639554,-0.341121,0.544507,0.165299,-2.108202,0.106092,0.998889
1515639554,-0.238194,0.657046,0.176721,-2.621612,-0.155869,1.263046
1515639554,-0.299231,0.680368,0.219541,-2.982695,-1.135869,1.523324
1515639554,-0.233765,0.585276,0.312151,-3.440083,-1.558939,1.690915
1515639554,-0.121464,0.515886,0.306916,-3.882352,-1.344761,1.797107
