time,accel x,accel y,accel z,gyro x,gyro y,gyro z
1515639299,0.007126,0.027495,0.00672,-0.045275,-0.015663,0.011151
1515639299,0.01234,0.020441,0.000558,-0.031428,-0.011325,0.009043
1515639299,0.011427,0.021323,-0.008349,-0.034522,-0.021998,0.014327
1515639299,0.007657,0.023878,-0.014225,-0.047288,-0.027407,0.022828
1515639299,0.011554,0.020419,-0.014679,-0.067661,-0.020082,0.02498
1515639299,0.011372,0.020339,-0.017743,-0.091405,0.004234,0.028265
1515639299,0.00932,0.015346,-0.026546,-0.095823,0.020137,0.029388
1515639299,0.012539,0.007449,-0.027754,-0.102315,0.0286,0.032617
1515639299,0.012869,0.004927,-0.018819,-0.102327,0.029667,0.031555
1515639299,0.003542,0.008959,-0.007007,-0.117337,0.035914,0.052895
1515639299,-0.017576,0.010861,-0.008138,-0.098934,0.011535,0.071999
1515639299,-0.012298,0.012374,0.002684,-0.050494,-0.024376,0.085737
1515639299,0.004046,0.019047,0.009154,0.007359,-0.038962,0.094232
1515639299,0.023248,0.0204,0.006129,0.061941,-0.048211,0.089957
1515639299,0.038303,0.029576,0.008815,0.106861,-0.052218,0.094226
1515639299,0.04382,0.029037,-0.006996,0.120602,-0.036216,0.10709
1515639299,0.048391,0.022633,-0.0196,0.122634,-0.025576,0.113532
1515639299,0.037158,0.02439,-0.008926,0.120374,-0.012837,0.117846
1515639299,0.027779,0.018353,-0.006759,0.117024,0.002032,0.117904
1515639299,0.019325,0.000879,-0.015124,0.096469,0.027459,0.108402
1515639299,0.006918,-0.012199,-0.022079,0.085557,0.050803,0.097826
1515639299,0.008965,-0.01534,-0.016093,0.081327,0.046515,0.102071
1515639299,0.005669,-0.00675,-0.010316,0.078294,0.029441,0.124391
1515639299,-0.006451,0.002876,-0.006392,0.07631,0.014508,0.139255
1515639299,-0.008595,0.003113,-0.01135,0.065768,0.00059,0.153053
1515639299,-0.005038,0.003382,-0.023008,0.053136,-0.018637,0.1583
1515639299,0.003003,0.003957,-0.034202,0.023771,-0.074151,0.177252
1515639299,0.010926,0.005712,-0.054728,-0.048928,-0.069291,0.19536
1515639299,0.020569,-0.003634,-0.066248,-0.153238,-0.001832,0.206247
1515639299,0.023302,-0.017542,-0.057417,-0.231566,0.031743,0.209542
1515639299,0.018822,-0.014224,-0.044348,-0.288263,0.039887,0.217006
1515639300,0.005711,-0.002257,-0.045757,-0.330925,0.032179,0.225483
1515639300,-0.003416,0.003812,-0.052106,-0.371506,0.029806,0.236118
1515639300,0.003672,0.007932,-0.044577,-0.394967,0.025404,0.242485
1515639300,0.022472,0.012584,-0.035911,-0.415877,-0.020496,0.263612
1515639300,0.028154,0.009606,-0.046344,-0.449719,-0.055815,0.277313
1515639300,0.033871,0.012477,-0.05054,-0.527057,-0.014759,0.264647
1515639300,0.02502,0.011421,-0.071126,-0.640968,0.051586,0.264859
1515639300,0.014498,-0.003366,-0.087214,-0.745735,0.165842,0.269535
1515639300,0.020959,-0.013471,-0.057245,-0.825505,0.23769,0.274049
1515639300,0.011943,-0.001466,-0.006494,-0.80402,0.226121,0.266548
1515639300,-0.007313,0.024412,0.050804,-0.709678,0.192701,0.235543
1515639300,-0.01526,0.046053,0.070072,-0.562826,0.142612,0.18424
1515639300,0.003638,0.063458,0.102555,-0.353022,0.101408,0.125541
1515639300,0.023078,0.078775,0.121485,-0.156752,0.025993,0.112539
1515639300,0.017709,0.065681,0.096143,0.014194,-0.081504,0.114321
1515639300,0.02809,0.048195,0.067701,0.119389,-0.130877,0.110975
1515639300,0.047684,0.024951,0.023853,0.132088,-0.119067,0.093971
1515639300,0.064212,-0.001475,-0.021074,0.075368,-0.11085,0.079052
1515639300,0.069374,-0.012066,-0.056354,-0.003082,-0.174056,0.084092
1515639300,0.049273,-0.014643,-0.089451,-0.113841,-0.31837,0.130366
1515639300,0.01517,-0.04484,-0.118185,-0.264631,-0.410865,0.20668
1515639300,-0.023887,-0.093736,-0.139089,-0.455123,-0.484526,0.318231
1515639300,-0.078689,-0.139265,-0.162252,-0.701982,-0.47557,0.435418
1515639300,-0.125801,-0.172244,-0.201323,-0.920256,-0.656875,0.579572
1515639300,-0.144292,-0.183057,-0.194627,-1.172404,-0.652259,0.721258
1515639300,-0.131159,-0.13245,-0.185604,-1.464322,-0.516948,0.813346
1515639300,-0.082269,-0.101392,-0.17581,-1.721635,-0.423964,0.897816
1515639300,-0.029103,-0.100975,-0.134402,-1.908584,-0.42621,0.952091
1515639300,0.021616,-0.067555,-0.112899,-2.085058,-0.409138,0.949943
1515639300,0.06102,-0.045915,-0.10315,-2.222177,-0.26522,0.912074
1515639300,0.096687,-0.03453,-0.084498,-2.319896,-0.217827,0.868508
1515639300,0.127535,-0.056041,-0.084156,-2.422693,-0.304578,0.880906
1515639300,0.105182,-0.091921,-0.118559,-2.628694,-0.435557,0.904802
1515639300,0.111262,-0.10804,-0.206796,-2.863672,-0.556967,0.854097
1515639300,0.106264,-0.051588,-0.234453,-3.109509,-0.6614,0.794927
1515639300,0.069124,0.024787,-0.217418,-3.092125,-0.803641,0.720805
1515639300,0.097047,-0.067118,-0.129795,-3.10579,-1.046162,0.708099
1515639300,0.066435,-0.110892,-0.112273,-3.191653,-1.008332,0.697552
1515639300,0.049952,-0.103272,-0.067233,-3.450304,-0.78428,0.662081
1515639300,0.036267,-0.054956,-0.123381,-3.847875,-0.775904,0.646998
1515639300,-0.001109,0.002,-0.193806,-3.688201,-1.040914,0.672662
1515639300,-0.006646,0.144127,0.399142,-2.349876,-0.222806,0.6446
1515639300,0.028008,0.061519,0.974696,-2.05185,0.654463,0.500077
1515639300,0.085632,-0.274149,0.267869,-1.880727,0.41527,0.430974
1515639300,0.109789,-0.307033,0.165184,-1.325269,0.207148,0.287549
1515639300,0.159695,-0.05663,0.345527,-0.799583,0.203047,0.134264
1515639300,0.159261,0.076586,0.288844,-0.414132,0.116228,-0.000226
1515639300,0.119807,0.175768,0.226561,-0.021634,-0.033399,-0.086991
1515639300,0.043324,0.185811,0.18943,0.379811,-0.112862,-0.141488
1515639300,0.014955,0.122417,0.163013,0.697344,-0.137382,-0.244842
1515639300,0.04908,0.069421,0.138597,0.92944,-0.273096,-0.308174
1515639300,0.016639,0.110626,0.072383,1.02207,-0.454541,-0.264088
1515639300,-0.040736,0.1856,-0.011632,0.955878,-0.563667,-0.143025
1515639300,-0.066014,0.181147,-0.093117,0.76912,-0.581017,0.010335
1515639300,-0.09456,0.167104,-0.143824,0.53181,-0.563576,0.161675
1515639300,-0.102952,0.17169,-0.160805,0.34192,-0.589375,0.271285
1515639300,-0.089968,0.071788,-0.127076,0.231932,-0.592325,0.356507
1515639300,-0.07717,-0.031451,-0.0643,0.254146,-0.566787,0.406725
1515639300,-0.02952,-0.088114,0.000953,0.293586,-0.558012,0.388656
1515639300,0.023142,-0.107981,0.021254,0.327642,-0.545002,0.363138
1515639300,0.055465,-0.091075,0.033297,0.372045,-0.498904,0.312172
1515639300,0.089064,-0.046728,0.037729,0.431968,-0.509134,0.286575
1515639300,0.081317,-0.044496,0.027615,0.511324,-0.5354,0.346207
1515639300,0.048207,-0.06615,0.032954,0.535646,-0.506694,0.417764
1515639300,0.032929,-0.022846,0.010894,0.516268,-0.492929,0.395423
1515639300,0.056413,0.056682,0.004856,0.519544,-0.39385,0.320128
1515639300,0.068924,0.017132,0.011409,0.379464,-0.164924,0.311385
1515639300,0.018095,-0.018493,0.0038,0.314478,-0.070849,0.398082
1515639300,-0.045434,0.020645,0.015054,0.306798,-0.158166,0.428644
1515639300,-0.028819,-0.023785,0.001413,0.281153,-0.269863,0.375945
1515639300,0.007928,-0.041048,-0.012775,0.248391,-0.198744,0.351695
1515639300,-0.02227,-0.064148,0.033514,0.34789,-0.209972,0.402873
